"Index","Free","Equal","Delta"
"cfi",0.955209682068833,0.95436071147406,-0.000848970594773402
"tli",0.956024051485764,0.955377742973245,-0.000646308512518345
"rmsea",0.0538041894967199,0.0541981237907506,0.000393934294030757
