"group","lhs","est","se","ci.lower","ci.upper","pvalue"
1,"Dep",0,0,0,0,NA
1,"Anx",0,0,0,0,NA
1,"Str",0,0,0,0,NA
2,"Dep",0.155444856762186,0.111259955245672,-0.0626206484408695,0.373510361965242,0.162373845491517
2,"Anx",0.620458453100998,0.116939912704569,0.391260435844784,0.849656470357211,1.12186929079883e-07
2,"Str",0.553733257160885,0.113832355929745,0.330625939263241,0.77684057505853,1.14768108083751e-06
