"group","lhs","est.std","se","pvalue"
1,"Dep",-0.533777944496548,0.0598249242337147,0
1,"Anx",-0.547592495553095,0.0559545242333357,0
1,"Str",-0.453811704273501,0.0701899558064175,1.00978336803337e-10
2,"Dep",-0.549874887686748,0.0519883678400313,0
2,"Anx",-0.38963187046969,0.0595618065825032,6.0847993310631e-11
2,"Str",-0.531822234160593,0.056788126347783,0
