item,a,b1,b2,b3
dQ7A,0.889,-0.561,0.717,1.837
dQ10D,1.494,-0.408,0.533,1.354
dQ13D,1.585,-1.065,0.112,0.98
dQ14S,0.711,-2.01,0.099,1.634
dQ16D,1.226,-0.527,0.72,1.699
dQ17D,1.319,-0.316,0.547,1.396
dQ18S,0.98,-1.222,0.033,1.019
dQ19A,0.957,-0.717,0.492,1.63
dQ20A,1.337,-0.278,0.855,1.747
dQ21D,1.488,0.166,0.808,1.503
dQ1S,0.571,-1.462,0.907,2.628
dQ9A,1.333,-1.39,-0.115,0.96
dQ11S,1.465,-1.033,0.125,1.105
dQ12S,1.062,-0.545,0.754,2.011
dQ15A,1.623,-0.523,0.414,1.335
