item,primary_factor,primary_loading,max_cross,communality,pass_primary,pass_cross,pass_comm,keep_rule,domain,keep_EFA,reason
rQ1,PA1,0.4540654537110457,NA,0.20617543625381776,FALSE,TRUE,FALSE,FALSE,BRS,TRUE,pass/borderline by loading
rQ2_r,PA1,0.43741726028007016,NA,0.19133385959092264,FALSE,TRUE,FALSE,FALSE,BRS,FALSE,drop: low primary
