item,outfit,z.outfit,infit,z.infit,X2,df.X2,RMSEA.X2,p.X2
dQ2A,1.0147789539599854,0.4509072321787851,1.0118322434030913,0.37531603003725816,32.242971787347685,26,0.01895923374458196,0.18520949152938318
dQ3D,0.9797314659307121,-0.3557920905955595,0.9836606665124106,-0.34194907120276796,25.87430934870829,26,0,0.47003035301806034
dQ4A,0.9438731861076146,-0.9126731652009933,0.9635763185597046,-0.7343158768725199,17.34610741558024,26,0,0.8982543697907717
dQ5D,0.9398818608837224,-1.3712484709403812,0.9424434324525035,-1.3937224954493899,39.83648036057459,26,0.0282252573422594,0.04047679689253068
dQ6S,1.015090158550852,0.3081491296695005,0.9972395163488826,-0.0454594919979737,39.14639604875556,26,0.02751239832813947,0.047206856341315
dQ7A,0.9527849178853884,-0.8817985692972394,0.9806954744203461,-0.4237693497100611,31.828539034395654,26,0.01831913442270093,0.1988516608638406
dQ8S,0.9423969270671732,-1.0713749725414685,0.9375306481803173,-1.3382058746758954,40.11482004474285,26,0.028507738576137635,0.03801167751773415
dQ10D,0.8928739020740112,-1.6606528266424743,0.9221581679646724,-1.6091451682119968,22.81382497005867,26,0,0.6434571451774871
dQ13D,0.8674645395736025,-2.156843100661797,0.9114893458228622,-1.7825653331861977,39.746069967890534,26,0.028132891408270706,0.04130738329632152
dQ14S,1.0014298640489838,0.04829520996042669,0.9952335279046014,-0.10631078800298825,61.338092737784024,26,0.04510728085260414,1.1053688609571135e-4
dQ16D,0.9030146251622326,-1.6566588350268856,0.9447102289253579,-1.1359751479549238,24.518219292893384,26,0,0.5463587339173734
dQ17D,0.9482941455626865,-0.8836060553205909,0.9602939969697145,-0.8709529125279949,24.292486216404,26,0,0.5592446659533901
dQ18S,0.9542367666639598,-0.9611453502593256,0.9655653760654819,-0.8268065411228005,29.112631629111696,26,0.01338717553265202,0.3059851389380737
dQ19A,0.9501878954680014,-0.9813942341570211,0.9681459811069952,-0.7295745180687173,42.0618368523966,26,0.030410439722304308,0.02419134368671106
dQ20A,0.8891524186571423,-1.6016383693320588,0.9211659961052145,-1.5224037459235844,21.843105081025115,26,0,0.697249738727227
dQ21D,0.9827658588838071,-0.18899247372918548,0.9423277148932164,-1.1188046379667886,33.30123778043453,26,0.020503279922694177,0.15353686386272206
dQ1S,1.002774673435464,0.08172580815187105,0.999334146259617,-0.004026228422800385,28.52329434885722,26,0.012053385655533058,0.3332001362434542
dQ9A,0.9027393362838368,-1.7883219435921414,0.918390194046381,-1.7343623506989037,37.31783760602194,26,0.025527414123536284,0.06996402208792753
dQ11S,0.8916955318647944,-1.887250737001673,0.9358327290607213,-1.3197992041682454,38.85671132371263,26,0.027207587910709173,0.050312459739119325
dQ12S,0.9313608527181277,-1.2300892572355357,0.9489684590796104,-1.075185379256817,31.075366977855438,26,0.017094595139162262,0.2254744387475668
dQ15A,0.8087777337917806,-2.801588733362082,0.8697758334023895,-2.6082796569824596,38.303587516974275,26,0.026615888969884163,0.05673996301809714
