item,a,thr_ok
dQ2A,0.5575769713500072,TRUE
dQ3D,0.9690569629160529,TRUE
dQ4A,0.8864924432849571,TRUE
dQ5D,0.9228387610569053,TRUE
dQ6S,1.1032473866005066,TRUE
dQ7A,1.0242109988851449,TRUE
dQ8S,1.3061501193524925,TRUE
dQ10D,1.344621566288223,TRUE
dQ13D,1.6202703072783309,TRUE
dQ14S,0.7883932603100742,TRUE
dQ16D,1.1636620264478934,TRUE
dQ17D,1.1312011962993958,TRUE
dQ18S,1.0656495853346455,TRUE
dQ19A,1.0457222051166222,TRUE
dQ20A,1.2751243780353798,TRUE
dQ21D,1.247502596794083,TRUE
dQ1S,0.6060633283081128,TRUE
dQ9A,1.362263389239067,TRUE
dQ11S,1.4660249294431886,TRUE
dQ12S,1.0732654723204225,TRUE
dQ15A,1.6115844273429976,TRUE
