id,theta,se,raw_sum,raw_z
1,0.362858198247402,0.31122670404940417,28,0.3963905079612156
2,-0.45381846491428135,0.38686422808319826,21,-0.21502799434975334
3,0.02873723535531675,0.4047222601558727,12,-1.0011374973209992
4,-1.4487102939941707,0.3799867134796957,5,-1.612555999631968
5,-0.20426138420959203,0.31462542848025343,18,-0.4770644953401686
6,-0.21294577748937699,0.3031294264076825,19,-0.38971899501003016
7,-1.1688362763392457,0.3633523104716597,9,-1.2631739983114143
8,-0.05517165188005763,0.3514728774215576,22,-0.1276824940196149
9,-1.0334386750364328,0.3453080883898799,9,-1.2631739983114143
10,0.13056650068110595,0.31101378561978543,23,-0.040336993689476484
11,-0.32116724693191967,0.3063597844259977,17,-0.564409995670307
12,-1.3087031443222652,0.3659467801414383,7,-1.4378649989716912
13,-0.41863260714942235,0.31814318689679427,16,-0.6517554960004455
14,0.33157974992384576,0.32750999753802784,29,0.48373600829135405
15,-0.25059689279172054,0.3098371232186746,18,-0.4770644953401686
16,-1.4602493777364227,0.3888138891253161,6,-1.5252104993018296
17,-0.7575954486590545,0.31948635481813,11,-1.0884829976511374
18,0.7007198280676349,0.31466599113333393,35,1.0078090102721846
19,0.6599929537370302,0.30846723189031283,33,0.8331180096119077
20,0.3737199964095175,0.3169223623939002,27,0.3090450076310772
21,-2.2526893000308803,0.49997065648959704,2,-1.8745925006223834
22,-0.7231458442660673,0.3567626291471712,12,-1.0011374973209992
23,-0.28583991613814125,0.3626125501461583,19,-0.38971899501003016
24,0.7234098897637892,0.31779648462930604,31,0.6584270089516309
25,-0.37845602223070735,0.3282327047667435,16,-0.6517554960004455
26,0.7107124660916682,0.34921249463537496,30,0.5710815086214924
27,-0.8325117425737117,0.38224070364260493,12,-1.0011374973209992
28,0.242092414904265,0.2972199554040316,27,0.3090450076310772
29,1.5779729119892218,0.3715903785125471,43,1.7065730129132919
30,1.2263114178259609,0.3931750318550375,27,0.3090450076310772
31,-0.9475531026196696,0.3584369815710668,8,-1.3505194986415527
32,-1.0672856112106406,0.3552546169322405,8,-1.3505194986415527
33,-0.8675313154675951,0.3372208016229774,9,-1.2631739983114143
34,-0.3743954289107897,0.3042543926852285,16,-0.6517554960004455
35,0.032650219981465285,0.3221681221164081,21,-0.21502799434975334
36,1.3019272316670703,0.4766221112591385,20,-0.3023734946798918
37,-0.15442381690119497,0.3241892075072302,17,-0.564409995670307
40,0.029603361988494618,0.30624107916533905,21,-0.21502799434975334
41,0.1926835901122454,0.30456157801899103,25,0.13435400697080035
42,-0.6254539128440956,0.3270157225486345,13,-0.9137919969908607
44,-1.0867369133082863,0.38220179003030885,10,-1.1758284979812759
45,0.07728033373933119,0.3389776076609473,25,0.13435400697080035
47,0.3728242964293106,0.3382651836671125,28,0.3963905079612156
49,0.5663609839067806,0.3217811164999528,28,0.3963905079612156
50,-0.3622677662517395,0.30731026048393056,15,-0.7391009963305839
52,0.33744227034819246,0.3844946479926506,20,-0.3023734946798918
54,-0.4238088425366053,0.3165971676992252,17,-0.564409995670307
55,0.6425672697489225,0.30451092860268036,33,0.8331180096119077
56,0.6775765743706158,0.28124712558984816,34,0.9204635099420462
57,-1.9977644156056398,0.4494510731348761,2,-1.8745925006223834
58,-1.5626419151705422,0.3936027229900602,4,-1.6999014999621065
59,-0.5756897170787882,0.34343688949680673,15,-0.7391009963305839
60,-0.2730288658521145,0.3133471076852212,18,-0.4770644953401686
61,-0.6233026076596596,0.4013286129659491,14,-0.8264464966607222
62,0.3160253398706664,0.3337500092404033,27,0.3090450076310772
63,-0.4254039840969726,0.3111884203429871,16,-0.6517554960004455
64,-1.2972035242757196,0.37786604538931673,5,-1.612555999631968
65,-0.8588531849633723,0.35025787979483175,11,-1.0884829976511374
66,-0.9221078467715178,0.3499322344727916,11,-1.0884829976511374
68,0.4807866957366558,0.37942379484790084,29,0.48373600829135405
69,-0.3566510185294171,0.3768066941798344,20,-0.3023734946798918
70,-0.20774067200993948,0.3241028995591252,21,-0.21502799434975334
71,0.16618081294937273,0.36352452890445763,25,0.13435400697080035
72,-2.658003699243645,0.5502862838798583,0,-2.0492835012826602
73,0.7413091385816897,0.3497811089184437,34,0.9204635099420462
74,0.9023692834105752,0.32022790860302314,35,1.0078090102721846
75,0.1477377277230257,0.29726404424853936,25,0.13435400697080035
76,-0.919513067934904,0.3871269025900195,10,-1.1758284979812759
77,1.1963738421981829,0.34024253219006945,39,1.3571910115927381
78,-0.0848462005575533,0.3566340978473388,22,-0.1276824940196149
80,0.05663217940074278,0.3453819991971127,26,0.22169950730093876
81,-0.9867201505997153,0.3441514026523344,11,-1.0884829976511374
82,0.48998263195350783,0.30192785691540663,31,0.6584270089516309
83,0.6043273608611927,0.2970322567433893,31,0.6584270089516309
84,0.9064864101818996,0.41410962004724383,36,1.095154510602323
85,-0.2892890364686745,0.3341007719196632,20,-0.3023734946798918
86,1.583173969971357,0.34950818355913366,44,1.7939185132434303
87,-0.5631783495851806,0.36597575619047806,20,-0.3023734946798918
88,-1.1762915096251023,0.37071792884487154,9,-1.2631739983114143
89,0.07499401261465129,0.3073147175981673,24,0.04700850664066193
90,0.23347310205730504,0.36830114896817195,25,0.13435400697080035
91,1.4058865609423457,0.33959038938996,43,1.7065730129132919
92,-0.5427732124232055,0.40406157206206966,19,-0.38971899501003016
93,-0.10552019407714794,0.38049315527233396,24,0.04700850664066193
94,-0.017829522978209306,0.36562670673561526,24,0.04700850664066193
95,-0.8563377058281298,0.40513050899780456,16,-0.6517554960004455
96,-0.149936661202501,0.3402418349355189,22,-0.1276824940196149
97,-0.3923996695856648,0.33336643393875487,19,-0.38971899501003016
98,-1.342830588362423,0.41224099727928515,8,-1.3505194986415527
99,-0.26582291267377645,0.3730057770273471,23,-0.040336993689476484
100,0.6274702792598136,0.35909307838892884,32,0.7457725092817693
101,0.24814600629503963,0.3831528173213395,25,0.13435400697080035
102,0.6274702792598136,0.35909307838892884,32,0.7457725092817693
103,0.4436173782925929,0.36840002798347876,30,0.5710815086214924
104,-0.6997220278259221,0.36200096923699004,17,-0.564409995670307
105,-1.7696170022229933,0.443427238515635,7,-1.4378649989716912
106,0.022899368231710095,0.3261258131312664,23,-0.040336993689476484
107,0.4739412967292054,0.36873712191195523,28,0.3963905079612156
108,-0.8490962636360163,0.3407630813497878,12,-1.0011374973209992
109,-0.9069433115992575,0.3428907264550984,12,-1.0011374973209992
110,-0.7847652829962747,0.32854364924728713,12,-1.0011374973209992
111,-0.2691214656082062,0.3709877567741446,22,-0.1276824940196149
112,-0.7989324550869147,0.39715054265014554,18,-0.4770644953401686
113,-0.2430036156198228,0.3276919284958418,19,-0.38971899501003016
114,0.23725368538189492,0.3732771699614079,26,0.22169950730093876
115,-0.4509340015898146,0.39067449410585386,19,-0.38971899501003016
116,-0.5830802731977,0.3390637694829724,16,-0.6517554960004455
117,-0.9218192636512632,0.36157950279931417,12,-1.0011374973209992
118,-0.34076842676192837,0.4111779443019152,9,-1.2631739983114143
119,0.5045354505519597,0.2899668671180189,32,0.7457725092817693
120,0.22132305099729965,0.3022951883428529,25,0.13435400697080035
121,-0.22309263013159109,0.4127722417575014,24,0.04700850664066193
122,0.1701917524356774,0.41293873783480184,27,0.3090450076310772
123,-0.10018654313475979,0.40923889666750274,24,0.04700850664066193
124,-0.31884810658194307,0.4225430229060991,21,-0.21502799434975334
125,-0.8936642977883911,0.38533039275107367,15,-0.7391009963305839
126,-0.5892350900966083,0.3631488144991151,19,-0.38971899501003016
127,-0.8273805467165115,0.4378252454701675,15,-0.7391009963305839
130,-0.15478642757991554,0.38876811358268043,23,-0.040336993689476484
131,-0.9157208305104815,0.3347790099380535,10,-1.1758284979812759
132,-0.11229250532423324,0.37075336075783943,24,0.04700850664066193
133,-1.6204974174677935,0.4359981635139204,12,-1.0011374973209992
134,-0.6452334499500244,0.41085521495245436,21,-0.21502799434975334
135,1.01451740208317,0.37125483937165854,36,1.095154510602323
136,-1.9948584565036447,0.4565473396809596,2,-1.8745925006223834
137,-0.4627536716565976,0.3538800663026767,17,-0.564409995670307
138,-1.2534095541623558,0.41991714727283735,15,-0.7391009963305839
139,0.1408296224427781,0.38754338503869384,26,0.22169950730093876
141,-0.002799427839040443,0.33140444851033846,23,-0.040336993689476484
142,0.2910517728581685,0.33654192654956866,28,0.3963905079612156
143,0.34225930852145203,0.37981760405233767,28,0.3963905079612156
145,0.6630132397348737,0.3134873514970684,33,0.8331180096119077
146,0.6607548154435287,0.3380731279538197,34,0.9204635099420462
147,0.3044821047071646,0.31653098665426355,27,0.3090450076310772
148,0.36780869812695666,0.3725459963641811,29,0.48373600829135405
149,0.3114355619657878,0.42990048019822913,30,0.5710815086214924
150,1.2737611040558816,0.4228300706362247,36,1.095154510602323
152,-0.9051252196392259,0.42797668731618493,15,-0.7391009963305839
