id,theta15,se15,raw_sum15
1,0.3882665765113355,0.34239461166302376,22
2,-0.29306972153313193,0.4375308103639427,19
3,0.18153077829247236,0.41477606488115065,11
4,-1.5736994723617956,0.4364924008577728,3
5,-0.10764270658552438,0.3469108153027922,15
6,-0.12195498889000034,0.3318532513263053,16
7,-0.8999947866236552,0.37988908329431764,10
8,0.07078438141582105,0.386438902810035,19
9,-0.9519428621530874,0.3853825862874897,9
10,0.3746010409037575,0.3287627847646391,21
11,-0.2349712892859094,0.3280661440375332,14
12,-1.2895950206855022,0.4067706298380595,5
13,-0.3936050789658012,0.34677268345409756,13
14,0.6212602466038489,0.3616742657484447,26
15,-0.08450116646936147,0.33516740742547796,17
16,-1.6924322584060785,0.4614709754398535,2
17,-0.7065562852505406,0.3517436108506612,8
18,0.5428471613870577,0.3381633703788332,25
19,0.7776215571068817,0.33900173915941995,27
20,0.6111503885594355,0.3399925236901913,24
21,-2.4398307850502734,0.575771578717555,0
22,-0.3986741215220373,0.3703364144026018,12
23,-0.4628410455529963,0.3843447281121353,12
24,0.8178195249628186,0.3336795670380684,28
25,-0.44672295365664505,0.36503480923565906,12
26,0.9491489416452196,0.37693632075807465,25
27,-0.6430888604214224,0.4128939003669787,11
28,0.13351490227003227,0.32516849760592637,20
29,1.614111256346221,0.40508374170372585,35
30,1.16209713092571,0.40599885605595,22
31,-0.9434104043744611,0.39597919704014856,6
32,-0.9996681892926887,0.39393498773180097,6
33,-0.8038090614312375,0.3742617456596982,8
34,-0.5778359928508701,0.3397456468354818,9
35,0.017797928721510148,0.35788573656812345,17
36,1.231258987406955,0.5126230096680682,15
37,-0.15974892409660074,0.33613085590443575,14
40,0.05340383356570778,0.33875071265171847,17
41,0.17138079986620347,0.32821342715524215,20
42,-0.38819623075522053,0.34647731745956323,12
44,-0.7296107139149179,0.40653563438401896,12
45,0.38363624889541054,0.3701701148010102,23
47,0.5771281210236103,0.37603395397348965,23
49,0.5799898809354385,0.34931103111168954,22
50,-0.30110902744441187,0.33153790704791497,11
52,0.3479097727625125,0.424459313425648,15
54,-0.6065328338689158,0.35362117341930505,9
55,0.3643437247558161,0.3277261796329905,21
56,0.6327767417620908,0.30594351974716816,26
57,-1.7179103770809665,0.464580709545499,2
58,-1.636451861910249,0.45328299972788183,2
59,-0.5535380476096706,0.36836848259107263,13
60,0.028767382284129363,0.33304347854378846,18
61,-0.5739156119154859,0.43324813918150823,12
62,0.3697244159498955,0.367100828315279,20
63,-0.40908432335840456,0.3413419444807869,13
64,-1.2120444781831723,0.4078864927951063,4
65,-0.7207636717869411,0.3814227130452184,10
66,-0.7931518670467338,0.3814984219931883,10
68,0.05368311672021974,0.4191287812575698,19
69,-0.7139394056886269,0.42081527865434565,13
70,-0.35874030614576946,0.34746156955936774,14
71,0.2078798636671631,0.3942487875303924,20
72,-2.4398307850502734,0.575771578717555,0
73,0.5326033986420662,0.3840156773669321,25
74,0.9651693145235095,0.35644582934960073,28
75,0.13376723924886127,0.3211010006278844,19
76,-0.8841131376134507,0.4518933452918003,7
77,1.2899238691054906,0.37913552469168527,33
78,0.05959520868812777,0.3808381425825529,19
80,-0.05844303794269132,0.3793258947003882,21
81,-0.8071887554348665,0.36780505170095806,10
82,0.4846943707341661,0.330167726490163,24
83,0.6019713729406068,0.320137928277672,24
84,0.49097871176394225,0.4470883819149214,26
85,-0.2011274387928705,0.3515359248723689,17
86,1.489524645026428,0.3852425317828135,35
87,-0.8714428324782638,0.406185084254124,12
88,-1.046104799134989,0.39329569489192256,8
89,-0.045858343126814985,0.3406344467010008,17
90,-0.15578289653949384,0.4115183146239958,15
91,1.4584118370352737,0.36882351409069175,35
92,-0.3646249162043902,0.42244827330999785,16
93,-0.0247731207421915,0.3984582902532584,21
94,-0.17570061523079708,0.3907145023360189,18
95,-1.1803126123750394,0.45546583922981604,11
96,-0.05054144981389159,0.3708748327245566,18
97,-0.5878983048425127,0.3672336961942645,13
98,-1.4247690122099153,0.4605862676669774,6
99,-0.543196539190914,0.4067876862087833,15
100,0.4902349870449401,0.3984846917610549,24
101,0.3968628265253052,0.4157516700608057,23
102,0.6290103107426674,0.39845864295069333,27
103,-0.03276020450932044,0.40312500144080865,20
104,-1.027680084443882,0.4076416234109339,12
105,-2.1054797447263924,0.5295066684904708,2
106,-0.15786660336243455,0.3612433722647373,16
107,0.6532801137717216,0.4038898356205513,24
108,-1.0241962513530003,0.37998922470963625,7
109,-0.9278977315777885,0.38961508382621196,9
110,-0.777036613493638,0.368673329404437,9
111,-0.6814195470218071,0.41833080613540935,14
112,-0.9508851896973036,0.4449322912440061,15
113,-0.41274159314343156,0.3708563769546748,13
114,0.00729454554249433,0.41234736695389895,20
115,-0.36295187808050183,0.42280810802521057,17
116,-0.48880651713575574,0.3734084310686113,14
117,-0.9270906160015789,0.39141977968351166,8
118,-0.25835407071451477,0.45532939398815736,4
119,0.37765988540128326,0.31164546629266054,23
120,0.24239458762026186,0.3242438409344322,21
121,-0.4115419415480384,0.4379413798368193,17
122,-0.29997402819059904,0.44751200822312043,18
123,-0.1524293574325557,0.43804427870032914,21
124,-0.3786068173859683,0.45333170298027886,18
125,-1.094242634647949,0.4343362675517739,12
126,-0.5618395768635486,0.388125455428957,15
127,-0.19578437619513317,0.45927787460768155,18
130,-0.08705424833554394,0.42917759967702,18
131,-0.837320396758706,0.3670113474526675,8
132,-0.28516084604555675,0.41443148121315143,17
133,-1.3674290975964176,0.4605352826006334,12
134,-1.2614383506313271,0.46685439264588885,9
135,0.8939679730508138,0.40744497369868904,28
136,-1.5808004495798222,0.4638538593336025,5
137,-0.7011776115093376,0.3911547688697212,10
138,-1.485044953503203,0.47349904678018534,9
139,0.32074159772959143,0.41768278120720076,21
