raw_sum15,theta_hat
0,-1.7862801864886433
1,-1.6893958116371723
2,-1.5925114367857014
3,-1.4956270619342305
4,-1.3987426870827593
5,-1.3018583122312883
6,-1.2049739373798174
7,-1.1080895625283462
8,-1.0112051876768753
9,-0.9143208128254044
10,-0.8174364379739334
11,-0.7205520631224624
12,-0.6236676882709915
13,-0.5267833134195206
14,-0.4298989385680494
15,-0.33301456371657845
16,-0.2361301888651075
17,-0.13924581401363656
18,-0.042361439162165615
19,0.05452293568930555
20,0.1514073105407765
21,0.24829168539224744
22,0.3451760602437184
23,0.44206043509518933
24,0.5389448099466603
25,0.6358291847981312
26,0.7327135596496022
27,0.8295979345010736
28,0.9264823093525445
29,1.0233666842040154
30,1.1202510590554864
31,1.2171354339069573
32,1.3140198087584283
33,1.4109041836098992
34,1.5077885584613702
35,1.604672933312841
36,1.701557308164312
37,1.798441683015783
38,1.8953260578672544
39,1.9922104327187253
40,2.0890948075701963
41,2.1859791824216672
42,2.282863557273138
43,2.379747932124609
44,2.47663230697608
