"AIC","SABIC","HQ","BIC","logLik","X2","df","p"
30899.3235943033,30993.2132026299,31008.3000316965,31183.7547558797,-15389.6617971516,NA,NA,NA
30772.9873767345,30960.7665933878,30990.940251521,31341.8496998873,-15266.4936883673,246.336217568769,60,0
