cut_name,threshold,sensitivity,specificity,prevalence,PPV,NPV,roc_direction
Youden,-0.05489959813171052,0.8904109589041096,0.8548387096774194,0.4850498338870432,0.8524590163934427,0.8922558922558922,<
Sens>=0.80,NA,0.8,0.9,0.4850498338870432,0.8828420256991686,0.8269116775340841,<
