"lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"F1","=~","dQ1S",0.180440191207989,0.0747579126614573,2.41366010344772,0.0157931875891042,0.0339173748321415,0.326963007583836
"F1","=~","dQ2A",0.265701364237022,0.0811471879897716,3.27431388343997,0.00105918886624723,0.106655798330369,0.424746930143676
"F1","=~","dQ3D",0.109165489614872,0.0688777555828374,1.58491647544441,0.112985312697237,-0.0258324306634418,0.244163409893186
"F1","=~","dQ4A",0.640920108600709,0.0623281359895637,10.2829981745006,0,0.518759206837649,0.763081010363769
"F1","=~","dQ5D",0.108108949486926,0.0697699605746617,1.54950566972497,0.121260209630355,-0.0286376604421904,0.244855559416042
"F1","=~","dQ6S",0.0471627002312394,0.0641406932217333,0.735300756232844,0.462156347748369,-0.0785507484267903,0.172876148889269
"F1","=~","dQ7A",0.141372620810812,0.0702777706718927,2.01162642837436,0.0442593313322521,0.0036307213801372,0.279114520241487
"F1","=~","dQ8S",0.127915637690214,0.0553743078932054,2.31001781434291,0.0208871678863356,0.0193839885506993,0.236447286829729
"F1","=~","dQ9A",0.131353420723283,0.0708044995872116,1.85515640233418,0.0635738954211522,-0.00742084841103241,0.270127689857599
"F1","=~","dQ10D",0.0851881707529991,0.0578199238850702,1.47333592002524,0.140660479651999,-0.0281367976505856,0.198513139156584
"F1","=~","dQ11S",0.197025890184827,0.0626109097753903,3.14683001559369,0.00165050885078877,0.074310761985775,0.319741018383878
"F1","=~","dQ12S",0.388943668679617,0.0760965551355918,5.1111862815154,3.20142110821209e-07,0.23979716126629,0.538090176092943
"F1","=~","dQ13D",-0.024889445679699,0.055434706311438,-0.448986696887461,0.65344125324488,-0.133539473543673,0.0837605821842746
"F1","=~","dQ14S",-0.215734937671091,0.0617812917476831,-3.49191367756051,0.000479573208155282,-0.336824044414911,-0.0946458309272701
"F1","=~","dQ15A",0.272821393475583,0.0740259785554441,3.68548175653288,0.000228270434198485,0.127733141586578,0.417909645364588
"F1","=~","dQ16D",-0.067464165646404,0.0584096892020795,-1.15501668589605,0.248083593559077,-0.181945052830658,0.0470167215378498
"F1","=~","dQ17D",-0.0246817025479682,0.0491660003703982,-0.5020075328891,0.615662222163033,-0.121045292537832,0.0716818874418952
"F1","=~","dQ18S",0.0503155190451088,0.0716243464358333,0.702491841795518,0.482372487671254,-0.0900656203853442,0.190696658475562
"F1","=~","dQ19A",0.472639702793169,0.0801615406713793,5.89609055458086,3.7221474791238e-09,0.315525970132023,0.629753435454315
"F1","=~","dQ20A",0.37861794760539,0.0791402500047133,4.78413888739094,1.7172191921766e-06,0.223505907868656,0.533729987342124
"F1","=~","dQ21D",0.0187593938481277,0.0497678523382439,0.37693798238732,0.706219693910927,-0.0787838043227378,0.116302592018993
"F2","=~","dQ1S",0.216384242244944,0.0674169227340765,3.20964282363441,0.00132900003037295,0.0842495017376345,0.348518982752254
"F2","=~","dQ2A",0.323751235251173,0.0706960940021457,4.57947839722725,4.66136927812499e-06,0.18518943715931,0.462313033343037
"F2","=~","dQ3D",0.115287332606313,0.062031891531899,1.85851712335788,0.0630956140328673,-0.00629294068910412,0.23686760590173
"F2","=~","dQ4A",0.00717773292265829,0.0450838172245101,0.159208633264445,0.873504502259115,-0.0811849251229681,0.0955403909682846
"F2","=~","dQ5D",0.421026648494744,0.0620274871700843,6.78774310718497,1.13902220988393e-11,0.299455007589858,0.542598289399629
"F2","=~","dQ6S",0.494496872836661,0.0579962962444263,8.52635262694356,0,0.38082622096087,0.608167524712453
"F2","=~","dQ7A",0.537189383763011,0.060979165479749,8.80939218398144,0,0.417672415615395,0.656706351910628
"F2","=~","dQ8S",0.696458847718999,0.0531041304433819,13.1149656703549,0,0.592376664619654,0.800541030818345
"F2","=~","dQ9A",0.400456921396371,0.0655348096804642,6.11059867799916,9.92580906356011e-10,0.272011054688974,0.528902788103767
"F2","=~","dQ10D",0.0651172349650622,0.0510577567107505,1.27536419850877,0.202180364402292,-0.0349541293194171,0.165188599249541
"F2","=~","dQ11S",0.2568732323204,0.0602964695408951,4.26017035949641,2.0427114668653e-05,0.138694323625329,0.37505214101547
"F2","=~","dQ12S",-0.01957489725622,0.0608220337262463,-0.321838913580637,0.747574732648064,-0.138783892826143,0.0996340983137032
"F2","=~","dQ13D",0.450596600767152,0.0621492507480842,7.25023383779154,4.16111589629509e-13,0.328786307634758,0.572406893899546
"F2","=~","dQ14S",0.639011838834275,0.0547002709577672,11.6820598444136,0,0.531801277812469,0.746222399856081
"F2","=~","dQ15A",0.364084286688886,0.0686424570926483,5.30406838725882,1.13249853939124e-07,0.229547542976959,0.498621030400812
"F2","=~","dQ16D",0.225479946270362,0.0603918500158823,3.73361548306707,0.000188750588533848,0.107114095279488,0.343845797261236
"F2","=~","dQ17D",-0.0259201348951415,0.0490234565102656,-0.528729239842846,0.59699329037447,-0.122004344052928,0.0701640742626446
"F2","=~","dQ18S",0.53332306598173,0.063738839666242,8.36731683184678,0,0.408397235819522,0.658248896143937
"F2","=~","dQ19A",0.191844487470338,0.075536910402673,2.53974495975083,0.0110933330459178,0.0437948635776705,0.339894111363007
"F2","=~","dQ20A",0.116928604985476,0.0651951903726631,1.79351581484921,0.072890484168312,-0.0108516201101762,0.244708830081128
"F2","=~","dQ21D",-0.0818354333378655,0.0454833408365701,-1.79923971794233,0.0719807691732095,-0.170981143274103,0.00731027659837184
"F3","=~","dQ1S",0.00681985968747159,0.056316273173892,0.121099272077422,0.903612405731937,-0.103558007476876,0.117197726851819
"F3","=~","dQ2A",-0.206369746282772,0.0561509241344516,-3.67526891968201,0.000237599012041567,-0.316423535284938,-0.0963159572806064
"F3","=~","dQ3D",0.384624260934466,0.0517999172153595,7.42519064915452,1.12576614696991e-13,0.283098288790205,0.486150233078727
"F3","=~","dQ4A",0.0129221099056315,0.0488673723140467,0.26443226418207,0.791446852810045,-0.0828561798490097,0.108700399660273
