"lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"G","=~","dQ1S",0.339231193770344,0.0391229669352955,8.67089641568825,0,0.262551587608813,0.415910799931874
"G","=~","dQ2A",0.295757332277508,0.0419704345647268,7.04680176283119,1.83075776760688e-12,0.213496792115149,0.378017872439868
"G","=~","dQ3D",0.427810093479978,0.0367206386786826,11.6503990364507,0,0.355838964180452,0.499781222779505
"G","=~","dQ4A",0.456850437323015,0.0382536126119976,11.9426743287438,0,0.381874734324952,0.531826140321077
"G","=~","dQ5D",0.502050951708128,0.0330716185465341,15.1807191112133,0,0.437231770446474,0.566870132969781
"G","=~","dQ6S",0.535816115232435,0.0329865609889147,16.2434670110806,0,0.471163643720328,0.600468586744541
"G","=~","dQ7A",0.523954894377197,0.0336259226273352,15.5818741446595,0,0.458049297080689,0.589860491673704
"G","=~","dQ8S",0.651879393868795,0.0279109800580097,23.3556611954844,0,0.59717487818188,0.70658390955571
"G","=~","dQ9A",0.659979119595697,0.0271247506435932,24.331251124389,0,0.606815585244625,0.71314265394677
"G","=~","dQ10D",0.547896819011129,0.0317582040096424,17.2521348765433,0,0.485651882938554,0.610141755083704
"G","=~","dQ11S",0.677304206317341,0.0252377953331355,26.836900663351,0,0.627839036415202,0.72676937621948
"G","=~","dQ12S",0.548691187066262,0.032944359113347,16.6550876032664,0,0.484121429710348,0.613260944422176
"G","=~","dQ13D",0.652519060962288,0.0265216612131464,24.6032499894404,0,0.600537560174348,0.704500561750228
"G","=~","dQ14S",0.39553460739942,0.038299290347771,10.3274656999602,0,0.320469377684347,0.470599837114494
"G","=~","dQ15A",0.703884673673622,0.025003680190158,28.151242869867,0,0.654878361019955,0.752890986327289
"G","=~","dQ16D",0.489230624487891,0.0331647772464079,14.7515124510863,0,0.424228855529638,0.554232393446144
"G","=~","dQ17D",0.451846175732501,0.0366572803493612,12.3262329181596,0,0.379999226476565,0.523693124988436
"G","=~","dQ18S",0.55198897229071,0.0327514135891191,16.853897642882,0,0.487797381213261,0.616180563368159
"G","=~","dQ19A",0.485829074333912,0.0348869047844049,13.9258291137105,0,0.417451997424401,0.554206151243424
"G","=~","dQ20A",0.591806935249152,0.0310034022693181,19.0884513289312,0,0.531041383403081,0.652572487095223
"G","=~","dQ21D",0.475403377618349,0.0394961735068287,12.0366945809612,0,0.39799230001782,0.552814455218878
"Dep","=~","dQ3D",0.302301369206272,0.0479500680393151,6.30450344634359,2.89119395091575e-10,0.208320962792969,0.396281775619575
"Dep","=~","dQ5D",-0.013042568168772,0.0514662074267603,-0.253420036580943,0.799943645936745,-0.11391448114609,0.087829344808546
"Dep","=~","dQ10D",0.459747491992956,0.0408678711753852,11.2496070573371,0,0.379647936364378,0.539847047621533
"Dep","=~","dQ13D",0.190959199696165,0.0436916953983394,4.37060631214194,1.23902010593646e-05,0.105325050291925,0.276593349100405
"Dep","=~","dQ16D",0.362170905039075,0.0446874851256965,8.10452644673032,4.44089209850063e-16,0.274585043633041,0.44975676644511
