"lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"Dep","=~","dQ3D",0.526689400854565,0.034827925850763,15.1226174969884,0,0.458427920530838,0.594950881178292
"Dep","=~","dQ5D",0.515571384530876,0.0351817046482446,14.6545310889761,0,0.446616510505592,0.584526258556161
"Dep","=~","dQ10D",0.695723810236945,0.0271973385681142,25.5805842360106,0,0.642418006168099,0.749029614305791
"Dep","=~","dQ13D",0.733883115672443,0.0254982381246871,28.7817186459604,0,0.68390748727883,0.783858744066056
"Dep","=~","dQ16D",0.607495356731999,0.0310605173284063,19.5584429682508,0,0.546617861427141,0.668372852036858
"Dep","=~","dQ17D",0.64655435496088,0.0293231165460698,22.0493055008349,0,0.589082102616112,0.704026607305647
"Dep","=~","dQ21D",0.672859095115616,0.0307006604406124,21.9167628793263,0,0.612686906350422,0.73303128388081
"Anx","=~","dQ2A",0.333476187514284,0.0408778882959706,8.15786239004805,4.44089209850063e-16,0.25335699869013,0.413595376338438
"Anx","=~","dQ4A",0.506935709128633,0.0365034825174454,13.887324555578,0,0.435390198084153,0.578481220173114
"Anx","=~","dQ7A",0.555203859185675,0.0329286635239178,16.8608075691381,0,0.490664864619758,0.619742853751592
"Anx","=~","dQ9A",0.666902357747861,0.0274725045542075,24.2752660731008,0,0.613057238256502,0.72074747723922
"Anx","=~","dQ15A",0.740784612243165,0.0230504013854382,32.1376014176979,0,0.695606655698514,0.785962568787816
"Anx","=~","dQ19A",0.536051095040597,0.0332362535996466,16.1285053814338,0,0.47090923500425,0.601192955076944
"Anx","=~","dQ20A",0.62689244592986,0.0297394730352353,21.079473909545,0,0.568604149861598,0.685180741998121
"Str","=~","dQ1S",0.335107332951529,0.0391946730630884,8.54981829832166,0,0.258287185362053,0.411927480541004
"Str","=~","dQ6S",0.540106922876997,0.0327558929586835,16.4888474742013,0,0.475906552396528,0.604307293357466
"Str","=~","dQ8S",0.656806673139137,0.0286277128854999,22.9430369015547,0,0.600697386923803,0.71291595935447
"Str","=~","dQ11S",0.673621445957977,0.026237096462028,25.6743899589989,0,0.622197681833499,0.725045210082455
"Str","=~","dQ12S",0.519384646680751,0.0330020327531675,15.7379592513404,0,0.454701851067931,0.58406744229357
"Str","=~","dQ14S",0.404348239384365,0.0369560870866604,10.9413163367698,0,0.331915639684985,0.476780839083746
"Str","=~","dQ18S",0.559262952488059,0.0318660623158109,17.5504254948554,0,0.49680661801996,0.621719286956157
"dQ3D","|","t1",-0.178936391391864,0.0487753011068523,-3.66858609442239,0.000243895564078223,-0.274534224896391,-0.0833385578873364
"dQ3D","|","t2",0.414311091151765,0.0500355928000188,8.28032742227466,2.22044604925031e-16,0.316243131318616,0.512379050984913
"dQ3D","|","t3",1.0388626958177,0.0593064984786617,17.5168442323648,0,0.922624094750342,1.15510129688505
"dQ5D","|","t1",-0.788280652711789,0.0543865892813558,-14.494026250365,0,-0.894876408945219,-0.68168489647836
"dQ5D","|","t2",0.0281088452182415,0.0484991398324541,0.579574097918989,0.562201864544789,-0.0669477221345405,0.123165412571024
"dQ5D","|","t3",0.666212766572108,0.0526140959531105,12.6622486712655,0,0.563091033424877,0.769334499719339
"dQ10D","|","t1",-0.251833875553384,0.0490549667049482,-5.13370801101739,2.84088725210907e-07,-0.347979843557894,-0.155687907548874
"dQ10D","|","t2",0.361876980679614,0.049663455328108,7.2865848396739,3.17967874252645e-13,0.264538396888708,0.459215564470519
"dQ10D","|","t3",0.8952234493965,0.0562582906959132,15.9127381639686,0,0.784959225800725,1.00548767299227
"dQ13D","|","t1",-0.72334343819395,0.053399173878242,-13.5459668316832,0,-0.828003895799496,-0.618682980588404
