"Model","cfi","tli","rmsea","srmr","chisq","df"
"CFA",0.973159497315555,0.969696206646595,0.0530240640662279,0.062430611595065,535.329634632116,186
"ESEM",0.998403230060673,0.997764522084942,0.0144015655479848,0.0350732999010499,170.781990041337,150
"BIFACTOR",0.986898136950502,0.983622671188128,0.038980378144613,0.0499786215067195,338.520987846453,168
