id,gdist
6,-0.6798806205667453
10,0.34266587155077355
11,-0.6286253044733252
12,-0.9345596963424799
13,-0.18985605133311953
14,-0.22211206504279968
15,-0.47416214776778876
16,-1.7029985230896207
17,-0.5752313201739785
19,0.6550083294726811
20,0.32402184207011675
21,-2.1915072196600995
22,-0.9965061365503824
28,-0.17970387916463507
32,-0.7635671219982243
34,-0.7018666147969528
41,0.4381359132247765
42,-0.5225634983245148
47,0.38092668200636187
49,0.7370975487481555
50,-0.8721009325769564
54,-0.5656604524443494
55,0.22655056927642658
56,0.1806358128709392
57,-1.4690304622635293
58,-1.2359247810957257
60,-0.6812137968450402
62,0.36865796109265697
63,-0.8416688101750819
69,-0.468630080142113
70,-0.2667883052800934
71,0.32059652018660667
72,-2.082484106021848
73,0.6260454751132619
75,-0.2035864456167353
77,1.4228385799457703
80,0.4672521045209469
81,-1.1743856678657292
82,0.33962304789762393
83,0.21394758867033822
84,0.49748310563172105
85,-0.3570748608294718
86,1.5933780394842048
87,-0.6008516773159048
88,-1.2350718451698772
89,0.44458582941008085
91,1.6419640431979226
92,-0.33146190567194606
93,-0.04409345840457795
94,0.05830913128989735
95,-0.5253112250211229
96,-0.2801938449065885
99,-0.6470629418672005
100,0.5787660970953007
102,0.6586580236165923
103,0.3732722966261967
104,-0.5102562518481797
105,-1.307642467333844
106,0.055506227930116614
107,0.07027661105313869
108,-1.1479744898403903
109,-1.1599935066491145
110,-1.0930431287829543
111,-0.6241341030692803
114,0.3160376670977643
115,-0.15375892411468073
116,-0.3938012268575979
119,0.7947847581975019
120,0.008338985113294901
121,-0.32628734551650385
125,-1.023374962809239
126,-0.9327678403696398
131,-0.9722510530830732
132,-0.18986675100499806
133,-1.1263562431677165
134,-0.8044966846194721
135,0.9326996611197182
137,-1.0773301522415295
141,-0.24825871570867203
142,0.037305174716557955
143,0.18290652556880987
145,0.028065260284856803
146,-0.09640644753505766
155,-0.3995025676426467
156,-0.6628090923668759
158,-0.25695636414748835
159,-0.9210082010814737
160,-1.3226882525007548
161,-1.1541858449644278
162,-0.31309639165877123
163,-0.6681538976414714
165,-1.5710143605483102
166,-0.25936616865058165
167,-0.3184832939036057
170,-0.8295148267234386
173,-0.6073815970131355
174,-0.9169017883593263
175,-0.6121037833185098
176,-0.44799006944396325
177,0.7916868253952942
178,0.6469706920170512
179,0.13580287809065825
180,2.021320511017385
181,1.3634734109910513
182,-0.23874782721910406
184,0.06495668938268244
185,-0.4845723337983141
186,-1.064972444671083
187,0.5975901960026886
188,0.8568112591903685
189,0.9962732649341348
190,1.1963914839617684
191,0.8338947264311263
194,-0.05540230262415488
195,0.46224679931933227
196,0.1420134656312715
197,1.4060112509937088
198,-0.06602271756974214
200,-0.44521170066423876
201,-0.034059649163516184
202,1.5486851983619039
205,-0.4657874256587784
206,-0.14861303899459305
207,0.14594360464571035
208,-0.19281515534370838
210,2.4565727103502644
213,-1.5855582589431312
214,-1.8773220364329979
216,-0.057031514067170865
217,-0.253730019648686
218,-1.0724848052383766
220,0.9697599247393779
221,0.6339109081128151
222,0.8033727374985645
223,-0.44534667769011266
226,-0.8112473805253061
229,0.41141776491401166
230,0.2839282411971874
231,-0.04615870408973427
232,-1.4063775722306127
233,-0.9476374465720099
234,-0.071809060149459
236,-1.4620861129542742
239,1.0410560590664995
240,-1.895280429772053
241,0.6901805399194997
242,-0.6595499492121847
243,-1.1527980635361497
244,-1.3307182464052
245,0.02924779279765354
246,-2.2866692683565
247,1.400360425614484
248,2.039398488969736
249,0.0030013644085320652
251,-1.8493063118591546
253,-0.23481737796738752
255,-0.4801242617397622
256,0.4349577411407797
257,0.16435249667993665
259,0.4786841240745151
260,0.5894966930983545
261,-1.2273979217899351
262,0.3610550986597017
263,-0.3162295746958431
264,-0.9816237596698251
265,0.4099714280108291
266,0.47725074109409404
267,-0.11261848938581946
268,-0.0018869689597892508
269,1.0519434433340702
272,-0.9741920879902659
273,-0.23027987399195143
274,-0.8635916056857069
275,-0.8486960022681319
279,0.2681203751502613
280,0.5848134840291357
282,0.01055281389569726
284,0.16147576627658405
287,0.25522018902273685
288,1.5401608640505466
289,0.6714549387315543
293,-0.1356961689161254
294,-0.6070034810013268
295,-1.4560940522985149
298,0.2375843821956637
299,-0.04147275627352367
301,0.023915662248460468
305,-0.32051959166831695
306,-0.023544407435207637
308,-1.1705846963995947
310,-1.117600514377822
317,0.03325706198813295
318,0.1295272595703725
323,-1.943386674753591
324,-1.1693406525034267
325,-0.5046972215409461
326,0.060653374655802644
327,1.1210364235904056
328,0.6989282391302151
330,2.461040369407567
331,0.3645550218663137
332,-0.8917661098318328
334,-1.0520235749646343
335,0.5069153179418379
337,-0.3197374361977263
338,-0.502581880963476
340,-0.5307759560697107
341,0.7939009728044288
342,-0.564249675905609
343,-1.8444760589977194
346,-0.5942146920144084
347,-0.811989292441936
353,-0.16342303321647958
355,-0.9661466710372322
358,-0.5939813806149131
360,-0.37013488455470395
362,-0.05703569138487813
363,1.8442934094242651
364,0.8454722771261437
368,2.0084872516691674
371,1.318044203668577
373,1.140523098579924
374,2.123375462247118
375,0.03930796442337831
377,-0.44704519265028203
379,-0.09329636039567041
380,-1.630884199094224
383,0.8763009474234291
384,1.0434434161014652
385,0.7543395093558213
386,1.356250093408094
387,-0.9670096915484175
388,-1.165642430234122
390,1.332971454391033
391,-0.8278944235042763
393,1.3456177049094447
395,1.3511484471800728
397,1.422180172006653
399,0.3375462640680459
400,-0.37150857209608557
401,0.302138227623958
403,-0.5379257648237061
404,-0.20851847061823964
405,0.5647529491439803
408,-0.44523458143901085
413,-0.11949273745743041
414,-1.6656477826248255
416,-0.3476193307740229
419,0.19891726859186867
420,-1.3323564463305253
422,-0.846136688635097
423,-0.37439503559899934
424,0.9738381763745473
426,-0.12966575079876158
428,1.2338328915040369
430,1.2280861536256378
431,-0.8729529072389626
434,-0.0958533450315387
435,1.3140872806280757
436,-0.13700090113680474
