item,primary_factor,primary_loading,max_cross,communality,pass_primary,pass_cross,pass_comm,keep_rule
rQ4_r,PA1,0.6038350875453323,NA,0.36461681295087917,TRUE,TRUE,FALSE,FALSE
rQ6_r,PA1,0.5904196649598342,NA,0.3485953807712829,TRUE,TRUE,FALSE,FALSE
rQ3,PA1,0.5813532104018133,NA,0.337971555244495,TRUE,TRUE,FALSE,FALSE
rQ1,PA1,0.4540654537110457,NA,0.20617543625381776,FALSE,TRUE,FALSE,FALSE
rQ2_r,PA1,0.43741726028007016,NA,0.19133385959092264,FALSE,TRUE,FALSE,FALSE
rQ5,PA1,0.3464769293276909,NA,0.12004626255634573,FALSE,TRUE,FALSE,FALSE
