PA2,PA1,PA3,item
0.027891326119853888,0.2622971129251386,0.11349418532583402,dQ1S
-0.16525644944294984,0.4065994912183511,0.15984174105882445,dQ2A
0.40419613177877134,0.1890844453756353,0.02122090446755516,dQ3D
-9.97074926298927e-4,0.05945002574291752,0.5543859402743887,dQ4A
0.05478716316528545,0.4638600864507505,0.06358235041980348,dQ5D
0.0807204292283419,0.4842727719592007,0.07970334927547457,dQ6S
-0.053886210216071595,0.5042245676568197,0.18957357828499521,dQ7A
-0.0325705883942527,0.5571026677115898,0.22221290891289702,dQ8S
0.2726961409239702,0.34522901463936195,0.13152513585553324,dQ9A
0.6654756303540688,0.12810457786076362,-0.01534535889754203,dQ10D
0.3490586644518364,0.2869172752153185,0.16428022507504667,dQ11S
0.2918678694399657,0.08615962130562899,0.27959232809301965,dQ12S
0.3730175327625062,0.4341733352707179,0.019488513435939075,dQ13D
0.018240451178976977,0.6093770963630096,-0.14849656897567426,dQ14S
0.22463468813167,0.24088544808182133,0.382043621877859,dQ15A
0.5325818642941331,0.2476495865285058,-0.09622190437179261,dQ16D
0.7656688166381311,-0.02791185171888562,-0.01689242863994382,dQ17D
0.02971738619323632,0.4421034195960011,0.17992699812413354,dQ18S
-0.047331778804578256,0.1589299444514381,0.5532485660896993,dQ19A
0.2540914136781924,-0.01709724105610666,0.5305629502781405,dQ20A
0.7775419696877546,-0.14014364828796277,0.12906098257493903,dQ21D
