id,theta,se
1,0.3792853638964496,0.34182461056317803
2,-0.3055940389127728,0.4365546717694039
3,0.17542793520703132,0.41263709633570417
4,-1.5821130249381705,0.43691590292980903
5,-0.11799334886098396,0.346581958103407
6,-0.13180309637796267,0.3314549060006424
7,-0.9013710570461486,0.379257800524529
8,0.0694028182213479,0.3857849257127792
9,-0.9535411095723543,0.384791042027684
10,0.36944229369175646,0.3279088310225774
11,-0.24137010105318585,0.3275613230571822
12,-1.293808385984779,0.4066546609615162
13,-0.4030614445611024,0.3466910046113954
14,0.615511355399925,0.3610153703908297
15,-0.09030757641914289,0.3351327416278963
16,-1.697892735860614,0.4616072036110511
17,-0.7092016637977836,0.3512282431667634
18,0.535955043914979,0.3371222827293219
19,0.772434372531783,0.3387092257112601
20,0.6088958130889743,0.33955855920300954
21,-2.444330827003849,0.5757453745866713
22,-0.40307805777550987,0.36924267468393757
23,-0.47144973288950864,0.38405248159792305
24,0.8092244311976867,0.33299787700317934
25,-0.45577980696295506,0.36490374765604877
26,0.9385510379006373,0.37576535092156016
27,-0.6462633958242716,0.4132634450082345
28,0.12903591895956182,0.32448767906321513
29,1.6001156518056041,0.40387413923744603
30,1.1559214771582536,0.40474504116313287
31,-0.9497007255057268,0.39563190363356565
32,-1.0058457040223472,0.39364390975468233
33,-0.8119768309115958,0.37419652432792266
34,-0.5859406464278762,0.339616969724131
35,0.00550469867988288,0.3575231830905645
36,1.2177610188828534,0.5095660959328365
37,-0.16317787982948834,0.3351840317720538
40,0.0454703472592126,0.3382910651389729
41,0.16117483124486298,0.32747175924769
42,-0.3912904196461987,0.345732378231121
44,-0.7373291638317364,0.4061859439496339
45,0.3813094265451779,0.36972504718409643
47,0.5804293141693087,0.3756169887893281
49,0.5663767446804259,0.3483715451200577
50,-0.3043382887073006,0.33073059297174484
52,0.340471051626366,0.42376570855381895
54,-0.6050967414080616,0.3531323487827921
55,0.3545493596119686,0.3269813468078975
56,0.6257755117744547,0.3052279126021598
57,-1.7252878916186687,0.46494892570154017
58,-1.640737263956535,0.45327725959365955
59,-0.5626167818106494,0.36798651258121506
60,0.025194496371743487,0.3326028242201541
61,-0.5770407067325779,0.43266927088108015
62,0.3725621062896109,0.3668176414581479
63,-0.4129889709956527,0.34047835501562673
64,-1.2141995222654038,0.40753761829836616
65,-0.7198203179561355,0.3810283329088011
66,-0.7924365860366223,0.38114135089240214
68,0.04299461396352128,0.4181614821761941
69,-0.7225784124845989,0.4203029098596693
70,-0.3668094683244696,0.34711240045438135
71,0.20239312463079695,0.3934173129028456
72,-2.444330827003849,0.5757453745866713
73,0.524705385228773,0.3832264873551043
74,0.9567318030794775,0.35529006147435677
75,0.12810666717914812,0.32056842699117455
76,-0.8813969518520597,0.4507264824653478
77,1.2798905417581756,0.3786532283544266
78,0.05355280126693102,0.3800283260987675
80,-0.06781655221727811,0.3787950551487272
81,-0.8108198908267495,0.36751568217980485
82,0.479181501194476,0.3291974330324242
