Grouping,dCFI_thr,dCFI_met,dRMSEA_thr,dRMSEA_met
Gender,0.00116819507371846,-0.00113304113015411,-0.00246098903509542,-0.000115778410411917
Academic year,0.00255400411708029,-0.00411351557785611,-0.0052994155615385,0.00384475136731491
Dept group,0.00296914636849921,-0.00668324815453125,-0.00572321763502504,0.00575709296918852
Living situation,0.00155462031419906,-0.00310206769013777,-0.00346567378799215,0.00144263096967923
