decile,n,MAE_lin,MAE_eq,Bias_lin,Bias_eq
"[4,20]",87,7.444450084578538,5.406641560579927,-3.6589703950208565,-3.090369223926666
"(20,30]",96,7.76153550662298,6.0334053658035565,-5.246376896565162,-2.337346776676704
"(30,38]",88,7.384383426606686,7.258748569195035,-4.106074614344286,-1.4865230802064635
"(38,44]",84,7.523784188094445,8.330903432077156,-2.583098726381505,-0.8404779942042729
"(44,52]",94,6.418888429666933,7.597518974530008,0.26317509441066284,1.3026436497402707
"(52,58]",72,5.7436836731670216,6.717482579984964,0.27543380953235885,0.13287973941412112
"(58,64]",75,6.420370036694269,7.280181018580425,2.6073538165741716,1.9956043676134803
"(64,74]",95,5.967128585509132,6.230523967801644,3.3955118043688612,1.5793929936323734
"(74,86]",81,6.9705727225575975,6.872088657717669,4.646098585180641,1.0519768698651024
"(86,120]",79,7.857585655998024,5.577678983385724,5.261579838131102,2.8706840555852637
