id,theta,se,theta_cal
1,0.3792853638964496,0.34182461056317803,0.39000969386539186
2,-0.3055940389127728,0.4365546717694039,-0.26975087210841947
3,0.17542793520703132,0.41263709633570417,0.19362899971921155
4,-1.5821130249381703,0.43691590292980903,-1.4994518752951533
5,-0.11799334886098396,0.346581958103407,-0.08903067970963725
6,-0.13180309637796267,0.3314549060006424,-0.10233393689679385
7,-0.9013710570461486,0.379257800524529,-0.8436769984681546
8,0.0694028182213479,0.3857849257127792,0.09149249086379865
9,-0.9535411095723544,0.384791042027684,-0.8939336469239132
10,0.36944229369175646,0.3279088310225774,0.3805276309758801
11,-0.24137010105318585,0.3275613230571822,-0.20788243013526955
12,-1.293808385984779,0.4066546609615162,-1.2217211814115918
13,-0.4030614445611024,0.3466910046113954,-0.3636435347447546
14,0.615511355399925,0.3610153703908297,0.6175717919702335
15,-0.09030757641914287,0.3351327416278963,-0.06236031873699266
16,-1.697892735860614,0.4616072036110511,-1.6109852157535667
17,-0.7092016637977836,0.3512282431667634,-0.6585556659644493
18,0.535955043914979,0.3371222827293219,0.5409333109810224
19,0.772434372531783,0.3387092257112601,0.7687394547332969
20,0.6088958130889743,0.33955855920300954,0.6111988832195927
21,-2.444330827003849,0.5757453745866713,-2.330046725644313
22,-0.4030780577755098,0.3692426746839376,-0.36365953864806244
23,-0.47144973288950864,0.38405248159792305,-0.4295235942537101
24,0.8092244311976867,0.33299787700317934,0.8041801904716844
25,-0.45577980696295506,0.3649037476560488,-0.4144283831031559
26,0.9385510379006372,0.37576535092156016,0.9287635768077732
27,-0.6462633958242716,0.4132634450082345,-0.597925740273455
28,0.12903591895956182,0.32448767906321513,0.1489384705975135
29,1.6001156518056039,0.403874139237446,1.566064453878783
30,1.1559214771582536,0.40474504116313287,1.138161674403255
31,-0.9497007255057268,0.3956319036335657,-0.8902341139039944
32,-1.0058457040223472,0.39364390975468233,-0.9443199028046008
33,-0.8119768309115958,0.37419652432792266,-0.7575614210578753
34,-0.5859406464278762,0.339616969724131,-0.5398154056369959
35,0.00550469867988288,0.3575231830905645,0.029937917401056564
36,1.2177610188828534,0.5095660959328365,1.1977331710498669
37,-0.16317787982948834,0.3351840317720538,-0.13255800963482364
40,0.0454703472592126,0.3382910651389729,0.06843777419052105
41,0.16117483124486298,0.32747175924769,0.1798986467572271
42,-0.3912904196461987,0.345732378231121,-0.3523042273745898
44,-0.7373291638317364,0.4061859439496339,-0.6856515535991347
45,0.3813094265451779,0.3697250471840964,0.3919595214017639
47,0.5804293141693087,0.3756169887893281,0.5837764299212518
49,0.5663767446804259,0.3483715451200577,0.5702392565716917
50,-0.3043382887073006,0.33073059297174484,-0.26854117816392975
52,0.340471051626366,0.42376570855381895,0.3526189466387185
54,-0.6050967414080616,0.3531323487827921,-0.558268926087655
55,0.3545493596119686,0.3269813468078975,0.3661809144923818
56,0.6257755117744547,0.3052279126021598,0.6274594971503377
57,-1.7252878916186687,0.46494892570154017,-1.6373756187847257
58,-1.640737263956535,0.4532772595936595,-1.555925994615857
59,-0.5626167818106494,0.36798651258121506,-0.5173469738847205
60,0.02519449637174348,0.3326028242201541,0.04890556632699513
61,-0.5770407067325779,0.43266927088108015,-0.5312418827270968
62,0.3725621062896109,0.3668176414581479,0.38353302041648796
63,-0.4129889709956527,0.34047835501562673,-0.37320695632279166
64,-1.2141995222654038,0.40753761829836616,-1.1450320756090369
65,-0.7198203179561355,0.3810283329088011,-0.6687848672642085
66,-0.7924365860366223,0.38114135089240214,-0.7387378399060699
68,0.04299461396352128,0.4181614821761941,0.06605284161163824
69,-0.7225784124845989,0.4203029098596693,-0.671441805112893
70,-0.3668094683244696,0.34711240045438135,-0.32872114656744156
71,0.20239312463079695,0.3934173129028456,0.21960520598682848
72,-2.444330827003849,0.5757453745866713,-2.330046725644313
73,0.524705385228773,0.3832264873551043,0.5300962480596092
74,0.9567318030794776,0.35529006147435677,0.9462775389374971
75,0.12810666717914812,0.32056842699117455,0.14804330032656773
76,-0.8813969518520597,0.4507264824653478,-0.8244354693849046
77,1.2798905417581756,0.3786532283544266,1.2575840134138965
78,0.05355280126693102,0.3800283260987675,0.07622379375647229
80,-0.06781655221727811,0.3787950551487272,-0.04069418190197034
81,-0.8108198908267495,0.3675156821798049,-0.7564469132451932
82,0.479181501194476,0.3291974330324242,0.48624201128069955
83,0.5964015800675643,0.31920109197820795,0.5991628923344786
84,0.4806452224860158,0.4462544105238517,0.4876520487030152
85,-0.21011662789068447,0.35072701919829063,-0.17777521847470365
86,1.4732514923929128,0.3848276571172496,1.4438532013975571
87,-0.8812688894199479,0.4058811642867648,-0.8243121038079234
88,-1.0447339280578174,0.3925759541361635,-0.9817818509871847
89,-0.04981776653264778,0.3397251984450073,-0.02335552493342245
90,-0.15921898548110366,0.4104713613503951,-0.1287443128508245
91,1.449757416070487,0.3679893990306593,1.421220800674253
92,-0.3788318955396832,0.4215378424126556,-0.3403026357337872
93,-0.0366573074598481,0.3975540206100778,-0.010677742697994149
94,-0.18090755614658105,0.3898681495026054,-0.14963742716952785
95,-1.1847475963212348,0.45522940006164886,-1.1166603370953054
96,-0.04917112136021946,0.3704577995861008,-0.022732596308038765
97,-0.5958998256425104,0.3669960685758196,-0.5494093190885178
98,-1.4281741264961023,0.4600674476601994,-1.3511588848140033
99,-0.5472637031015037,0.4063610287294091,-0.5025569891705678
100,0.480495098784442,0.3980255611003951,0.4875074309821287
101,0.3846038500518373,0.4146868441863346,0.3951331176705313
102,0.6178618165595532,0.3980365643106707,0.6198360469304717
103,-0.04596764637933102,0.40263100860983875,-0.019646612910370963
104,-1.0330115940778923,0.4073162474070563,-0.9704894487490585
105,-2.1090224738152346,0.5294435991804044,-2.007036239465201
106,-0.1690128897294875,0.3609608548274171,-0.1381790130089879
107,0.65082265883292,0.4030106426117544,0.6515880077341573
108,-1.032653568649121,0.3800858201820589,-0.9701445543653899
109,-0.9299578251416992,0.38958854885376715,-0.8712153099149894
110,-0.7799317924449682,0.3686104461067863,-0.7266916757732679
111,-0.687163701059416,0.4175612608283196,-0.6373259739784789
112,-0.955617469701347,0.444468789044969,-0.8959338538629021
113,-0.4212636166750561,0.3705929311936375,-0.38117811868259277
114,-0.00963197820609109,0.4114308657951179,0.015356397693659667
115,-0.372970917036495,0.42175972964603897,-0.33465661618850245
116,-0.4956681384062981,0.3730843651844781,-0.45285375846247544
117,-0.9304099206758132,0.3911359277501705,-0.871650824261366
118,-0.2673414706182421,0.4535171036742043,-0.23290126617132648
119,0.36926974798149664,0.31104122151738745,0.38036141360244113
120,0.2381201057610488,0.3234560032657279,0.2540218539314836
121,-0.4181633691238221,0.4371623313849618,-0.37819157671524617
122,-0.3134690623396157,0.44626011027313767,-0.2773370688780107
123,-0.16947158198236592,0.4367588111662355,-0.13862088213094656
124,-0.3887042619695415,0.4521692426741371,-0.34981292037156086
125,-1.1013585691964278,0.43402300679190314,-1.0363297102634843
126,-0.5726457956067779,0.38784496055126527,-0.527008160644247
127,-0.20700790599113003,0.4579086130651572,-0.17478051296670846
130,-0.09452121253846898,0.4286659087538755,-0.06641941430840477
131,-0.8416491921984115,0.3666804199110545,-0.7861455101633001
132,-0.2975357697595247,0.4136465062844992,-0.2619881503861585
133,-1.374785220512873,0.4605474629552123,-1.2997280859262905
134,-1.2674249241448103,0.46657479883933417,-1.1963053671171515
135,0.8815240772143431,0.4066304466394481,0.8738281535729235
136,-1.5876673722000356,0.4642786386971301,-1.5048025096960016
137,-0.7111564333843057,0.3909836537089837,-0.6604387418511852
138,-1.4911268491707217,0.4735498742785381,-1.411802735061269
139,0.3238809835887021,0.41730583779456715,0.3366373407776322
141,-0.1556970662058474,0.370228810540398,-0.12535156451465587
142,0.28444868514207583,0.36746472156090726,0.29865127281576465
143,0.5416366971937077,0.4186797061241333,0.5464065822861097
145,0.582814343212271,0.34166465408336605,0.5860739849430476
146,0.5198727242629858,0.38046908309946903,0.5254408311776455
147,0.36295071880260665,0.3402801626307521,0.3742741429817027
148,0.4985961700903268,0.3960105692661868,0.5049446221146374
149,0.1397251745552101,0.4609217091640355,0.1592356839356523
150,0.8186540231585585,0.4613718153628856,0.8132639399661042
152,-0.3576452749402035,0.44790249982044417,-0.31989306181398447
153,-1.3519411543324464,0.4468382580678869,-1.277721855383335
154,-0.9028556628155532,0.4170255137007777,-0.8451071544031304
155,-0.07657423300204214,0.3473629641433884,-0.04913066343065106
156,-0.4206338036725574,0.34489686260373703,-0.38057140488556257
157,-1.1591884845047833,0.4525032190907266,-1.0920386387223626
158,-0.6575646033300688,0.452868098814338,-0.6088124613949094
159,-0.7575881130391352,0.4217304100593394,-0.7051674796735407
160,-1.1737576941752406,0.40738288746643597,-1.1060735038074343
161,-0.9922318220682892,0.40225578398100914,-0.9312053275578227
162,0.11294247119592042,0.37200894145315466,0.13343527082035847
163,-0.25180580604870306,0.3557396444479841,-0.21793539216907748
164,-1.0261443329014095,0.4720338906508589,-0.9638740532474532
165,-2.1411350343936304,0.5371523801280416,-2.0379710304009016
166,-0.291494291298389,0.40686884679990226,-0.25616825095205653
167,-0.684248315239897,0.44495123154203176,-0.6345175137000294
168,-0.4519602892903437,0.4249002636794154,-0.41074895117529725
169,-0.3995225797875239,0.37087663132164633,-0.3602344624083052
170,-0.5293718732656005,0.3848676383684033,-0.48532136530682773
171,-1.0363934330547628,0.4230429374194435,-0.9737472544127426
172,0.7527030076858608,0.36868719500020897,0.749731763182369
173,-0.2163671832138338,0.4202370972765006,-0.18379652660681628
174,-0.30475713708734825,0.4290877187512926,-0.2689446647385646
175,-0.10529329016627029,0.4020447977094883,-0.07679641207367663
176,0.04751278357267193,0.3853388023159957,0.0704053015137347
177,0.9549580626845476,0.3207681916535653,0.9445688527628954
178,0.6424979269298604,0.32671387925156126,0.6435685961276547
179,0.3797015441867732,0.35699189380017765,0.39041061020594
180,1.514440839989689,0.38125575567978814,1.4835318764622107
181,1.27463885677462,0.3809456526044734,1.2525249407613175
182,-0.2999358301462899,0.4089495083330318,-0.2643001854578054
184,-0.19949143712580616,0.3620462715923243,-0.16753972030690645
185,-0.7535663334406612,0.35741014148091255,-0.7012932040372353
186,-0.879212073281076,0.37888833704411,-0.8223307240579703
187,0.5892494310759018,0.3683859685189021,0.5922730576463376
188,0.4169970319303898,0.373761664018095,0.42633823775769447
189,0.4815098065023498,0.3747107846514091,0.4884849229836677
190,0.8006210505878738,0.33390163991145055,0.7958923499597113
191,0.3485176980774516,0.3909689243466801,0.3603704719364332
193,1.5609991716764502,0.42471168455064745,1.5283826211896159
194,-0.04924881418914931,0.35240602126107695,-0.022807439652102867
195,0.7761928874450833,0.3530425438940509,0.7723601212568464
196,-0.29654586136575734,0.3401064034415799,-0.26103454816151095
197,1.9755896606200527,0.4260121436857551,1.9277674683770616
