term,estimate,std.error,statistic,p.value
(Intercept),0.024635110656309887,0.014170268539205149,1.7385069724085653,0.08263448909154061
theta,0.9633237081851502,0.01513227457391542,63.66020544232656,4.77099014614341e-269
