id,PC1,PC2,cluster,gender,academic_year,residence
6,-1.2680354001559713,-0.03462758276435285,C1,Male,1st Yr,Urban
10,0.7751232210633707,-0.28839901421707137,C2,Female,2nd Yr,Rural
11,-0.8695902632440182,-0.6612715936990925,C1,Male,1st Yr,Rural
12,-1.1081402447486104,-1.3947083268521476,C1,Female,1st Yr,Rural
13,-0.16291515495878545,-0.28656004664133766,C1,Female,4th Yr,Urban
14,-1.002691867197518,1.2172556021533927,C1,Male,1st Yr,Urban
15,-1.1801009270330676,0.618176855919429,C1,Male,1st Yr,Suburb/Semi-Urban
16,-3.003475436414846,-0.5106517114066706,C1,Male,1st Yr,Rural
17,-0.923044189007606,-0.3141906900335681,C1,Female,1st Yr,Rural
19,1.2082607758869768,0.09702999484479691,C2,Female,1st Yr,Urban
20,0.6506273415086075,-0.0911748911383102,C2,Female,1st Yr,Urban
21,-4.119377656268893,-0.09984849106642746,C1,Male,1st Yr,Suburb/Semi-Urban
22,-1.4171680636110313,-1.0960628073897691,C1,Male,1st Yr,Urban
28,-0.07266439099713357,-0.6449858491357459,C1,Male,1st Yr,Urban
32,-0.9615177144008177,-0.9517100397347495,C1,Female,1st Yr,Rural
34,-0.974201165220177,-0.7523526077459977,C1,Male,1st Yr,Rural
41,0.7218498467266459,0.369671413653093,C2,Female,1st Yr,Suburb/Semi-Urban
42,-0.9437853350620785,-0.032100927765072285,C1,Female,1st Yr,Urban
47,1.0233760176432027,-0.722133004903825,C2,Female,1st Yr,Urban
49,1.389375436820816,0.10715805585587673,C2,Female,1st Yr,Suburb/Semi-Urban
50,-1.2709656432908338,-0.8153880038216409,C1,Male,1st Yr,Urban
54,-1.1115843919576458,-0.02801796273784818,C1,Male,4th Yr,Suburb/Semi-Urban
55,0.29050591620025695,0.39459235755496086,C2,Male,4th Yr,Rural
56,0.436725491277828,-0.14866045284305487,C2,Male,1st Yr,Rural
57,-2.395806476094531,-0.7926688078943847,C1,Female,2nd Yr,Urban
58,-1.9795026476207795,-0.7301992061999989,C1,Female,1st Yr,Urban
60,-0.8916252421763412,-0.8484797769698484,C1,Male,1st Yr,Urban
62,0.49778355336020796,0.41028867683966136,C2,Female,1st Yr,Rural
63,-1.4391857617290045,-0.3245888833568623,C1,Male,1st Yr,Urban
69,-1.261759499461081,0.9339936150263191,C1,Male,3rd Yr,Rural
70,-0.7000521843439171,0.4001005160810512,C1,Male,3rd Yr,Suburb/Semi-Urban
71,0.12346536042745493,1.0632657463628445,C2,Female,3rd Yr,Urban
72,-4.438312227678855,1.0913167864063738,C1,Female,3rd Yr,Urban
73,0.19076072679670875,2.228570256525215,C2,Female,3rd Yr,Urban
75,-0.6443636289788722,0.5083256589959845,C1,Male,3rd Yr,Urban
77,2.2452374836662705,1.0883068196762626,C2,Female,3rd Yr,Suburb/Semi-Urban
80,0.3706946552797021,1.309541843746567,C2,Female,3rd Yr,Suburb/Semi-Urban
81,-2.375478370020866,0.2611670184651208,C1,Male,3rd Yr,Urban
82,0.8549663283217444,-0.49460477884108894,C2,Male,3rd Yr,Suburb/Semi-Urban
83,0.5263879058479555,-0.28553287119205006,C2,Male,3rd Yr,Urban
84,1.0565094452562322,-0.060353462196007235,C2,Male,3rd Yr,Rural
85,-0.8775517340219855,0.48243099415047525,C1,Male,3rd Yr,Rural
86,2.938115396307192,0.3446068760346397,C2,Female,3rd Yr,Urban
87,-0.7909353730932673,-0.6158774956927172,C1,Male,3rd Yr,Rural
88,-2.2283857731605097,-0.23937760375828765,C1,Male,3rd Yr,Urban
89,0.9841486608566656,-0.24157714939461172,C2,Female,3rd Yr,Suburb/Semi-Urban
91,3.0925795098600743,0.15183128028269,C2,Female,3rd Yr,Urban
92,-0.8749446058502174,0.6181739254874462,C1,Female,1st Yr,Urban
93,-0.4968524023314095,0.9915495061751912,C1,Female,1st Yr,Urban
94,-0.33803620182535815,1.2149278978045672,C1,Female,1st Yr,Rural
95,-1.1852061402080036,0.4900979798411584,C1,Female,1st Yr,Rural
96,-0.1635223198747684,-0.8872010554819847,C1,Male,1st Yr,Suburb/Semi-Urban
99,-1.1233215697655352,-0.26639684880767656,C1,Male,1st Yr,Urban
100,0.5445215597252187,1.3650496956014488,C2,Female,1st Yr,Rural
102,0.7947859254515403,1.1606110654635675,C2,Female,1st Yr,Rural
103,0.2895540791436864,1.0482403244482876,C2,Female,1st Yr,Urban
104,-1.2392835199225156,0.7556810430930115,C1,Female,1st Yr,Rural
105,-2.391038396335548,-0.10378636735998004,C1,Female,1st Yr,Urban
106,-0.5004775759552424,1.4677065378391831,C1,Female,1st Yr,Urban
107,0.23668348030308445,-0.29668968338378204,C2,Male,1st Yr,Urban
108,-1.9134227813391467,-0.5845920438945269,C1,Male,1st Yr,Urban
109,-2.183523592009329,-0.05587347094503281,C1,Male,1st Yr,Rural
110,-2.065642654820625,-0.06304380664196951,C1,Male,1st Yr,Rural
111,-0.9473484686696015,-0.5319468954344417,C1,Male,1st Yr,Urban
114,0.62133419709907,0.09623255900043781,C2,Female,1st Yr,Urban
115,-0.5403827130757024,0.6694248839394452,C1,Female,1st Yr,Urban
116,-0.6544920290086202,-0.06377777386558317,C1,Female,1st Yr,Rural
119,1.6263132968240885,-0.195530396699228,C2,Female,3rd Yr,Urban
120,0.3008498995561291,-0.6574090679648568,C2,Male,3rd Yr,Urban
121,-1.2692579286017722,1.3501647644408834,C1,Female,1st Yr,Urban
125,-1.5364732607709541,-0.763572438799097,C1,Male,1st Yr,Urban
