id,cluster_k,cluster
6,3,K3_C1
10,3,K3_C3
11,3,K3_C1
12,3,K3_C1
13,3,K3_C3
14,3,K3_C3
15,3,K3_C1
16,3,K3_C1
17,3,K3_C1
19,3,K3_C3
20,3,K3_C3
21,3,K3_C1
22,3,K3_C1
28,3,K3_C3
32,3,K3_C1
34,3,K3_C1
41,3,K3_C3
42,3,K3_C1
47,3,K3_C3
49,3,K3_C2
50,3,K3_C1
54,3,K3_C1
55,3,K3_C3
56,3,K3_C3
57,3,K3_C1
58,3,K3_C1
60,3,K3_C1
62,3,K3_C3
63,3,K3_C1
69,3,K3_C1
70,3,K3_C3
71,3,K3_C3
72,3,K3_C1
73,3,K3_C3
75,3,K3_C3
77,3,K3_C2
80,3,K3_C3
81,3,K3_C1
82,3,K3_C3
83,3,K3_C3
84,3,K3_C3
85,3,K3_C3
86,3,K3_C2
87,3,K3_C3
88,3,K3_C1
89,3,K3_C3
91,3,K3_C2
92,3,K3_C3
93,3,K3_C3
94,3,K3_C3
95,3,K3_C1
96,3,K3_C3
99,3,K3_C1
100,3,K3_C3
102,3,K3_C3
103,3,K3_C3
104,3,K3_C1
105,3,K3_C1
106,3,K3_C3
107,3,K3_C3
108,3,K3_C1
109,3,K3_C1
110,3,K3_C1
111,3,K3_C1
114,3,K3_C3
115,3,K3_C3
116,3,K3_C3
119,3,K3_C2
120,3,K3_C3
121,3,K3_C1
125,3,K3_C1
126,3,K3_C1
131,3,K3_C1
132,3,K3_C3
133,3,K3_C1
134,3,K3_C1
135,3,K3_C2
137,3,K3_C1
141,3,K3_C1
142,3,K3_C3
143,3,K3_C3
145,3,K3_C3
146,3,K3_C3
155,3,K3_C3
156,3,K3_C1
158,3,K3_C3
159,3,K3_C1
160,3,K3_C1
161,3,K3_C1
162,3,K3_C3
163,3,K3_C3
165,3,K3_C1
166,3,K3_C3
167,3,K3_C3
170,3,K3_C1
173,3,K3_C1
174,3,K3_C1
175,3,K3_C1
176,3,K3_C1
177,3,K3_C2
178,3,K3_C3
179,3,K3_C3
180,3,K3_C2
181,3,K3_C2
182,3,K3_C3
184,3,K3_C3
185,3,K3_C3
186,3,K3_C1
187,3,K3_C3
188,3,K3_C2
189,3,K3_C2
190,3,K3_C2
191,3,K3_C3
194,3,K3_C3
195,3,K3_C3
196,3,K3_C3
197,3,K3_C2
198,3,K3_C3
200,3,K3_C3
201,3,K3_C3
202,3,K3_C2
205,3,K3_C1
206,3,K3_C3
207,3,K3_C3
208,3,K3_C3
210,3,K3_C2
213,3,K3_C1
214,3,K3_C1
216,3,K3_C3
217,3,K3_C3
218,3,K3_C1
220,3,K3_C2
221,3,K3_C3
222,3,K3_C3
223,3,K3_C1
226,3,K3_C1
229,3,K3_C3
230,3,K3_C3
231,3,K3_C3
232,3,K3_C1
233,3,K3_C1
234,3,K3_C3
236,3,K3_C1
239,3,K3_C2
240,3,K3_C1
241,3,K3_C3
242,3,K3_C1
243,3,K3_C1
244,3,K3_C1
245,3,K3_C3
246,3,K3_C1
247,3,K3_C2
248,3,K3_C2
249,3,K3_C3
251,3,K3_C1
253,3,K3_C3
255,3,K3_C3
256,3,K3_C2
257,3,K3_C3
259,3,K3_C3
260,3,K3_C3
261,3,K3_C1
262,3,K3_C3
263,3,K3_C3
264,3,K3_C1
265,3,K3_C3
266,3,K3_C3
267,3,K3_C3
268,3,K3_C3
269,3,K3_C2
272,3,K3_C1
273,3,K3_C3
274,3,K3_C1
275,3,K3_C1
279,3,K3_C3
280,3,K3_C3
282,3,K3_C3
284,3,K3_C3
287,3,K3_C3
288,3,K3_C2
289,3,K3_C3
293,3,K3_C3
294,3,K3_C1
295,3,K3_C1
298,3,K3_C3
299,3,K3_C3
301,3,K3_C3
305,3,K3_C3
306,3,K3_C3
