k,wss,sil_avg
2,1029.2033826524748,0.45146733294801955
3,672.3204344803157,0.3884877983927761
4,527.3310442013873,0.35242635085267787
5,431.0494437891394,0.35941987336161113
6,365.40288511495066,0.34677195124177584
7,321.3539571348364,0.33936682652543926
8,288.68568149935294,0.32209887203065185
