"id","gender","academic_year","residence","Dep","Anx","Str","BRS"
6,"Male","1st Yr","Urban",-1.2093178385112,-0.936545183530062,-0.951021206840516,0.442899652003946
10,"Female","2nd Yr","Rural",0.308353447415166,0.0312182760362367,0.462631204393571,-0.466173031742472
11,"Male","1st Yr","Rural",-1.24094077261993,-0.768477977409247,-0.884651226838104,-0.223441913570415
12,"Female","1st Yr","Rural",-1.64072466050368,-1.09559503333424,-1.32761038129518,-0.734127214630569
13,"Female","4th Yr","Urban",-1.20768172266421,-0.013684963310084,0.0362798171034558,-0.24753717129515
14,"Male","1st Yr","Urban",-0.394073139864149,-0.556348281204389,-0.40843214921092,1.39575023873093
15,"Male","1st Yr","Suburb/Semi-Urban",-0.963044922919775,-0.68387818400497,-0.661630647053226,0.938249659409644
16,"Male","1st Yr","Rural",-2.37259754615301,-2.28222224629416,-2.3673331080888,0.70308354190625
17,"Female","1st Yr","Rural",-1.24933921418623,-0.731622579289284,-0.705559388974368,0.0677132780812217
19,"Female","1st Yr","Urban",0.488770267802973,0.788722995737126,0.737812791573677,-0.345573590664296
20,"Female","1st Yr","Urban",0.248867786624867,0.203064823356537,0.284201327730821,-0.269783314813224
21,"Male","1st Yr","Suburb/Semi-Urban",-3.04249767957639,-2.9494714321944,-2.89935012499356,1.43363827653237
22,"Male","1st Yr","Urban",-1.14079648523854,-1.58836366028274,-1.60737869123618,-0.296899878128857
28,"Male","1st Yr","Urban",-0.124430853136167,-0.600346322692805,-0.483835789674763,-0.419133871945354
32,"Female","1st Yr","Rural",-1.73502241263307,-0.831282458559967,-0.82702424494288,-0.469826277517268
34,"Male","1st Yr","Rural",-1.24632647665753,-0.931599246581668,-1.00210842562667,-0.246635221190164
41,"Female","1st Yr","Suburb/Semi-Urban",-0.381283672761041,1.0933201315992,0.512011240849092,-0.0376994568839468
42,"Female","1st Yr","Urban",-1.30621171591631,-0.318091163011031,-0.848201214712625,0.280987329982355
47,"Female","1st Yr","Urban",0.649104426085885,0.314485071280035,-0.0245543970269464,-0.873560008492218
49,"Female","1st Yr","Suburb/Semi-Urban",0.258498664524514,1.30647637186443,0.788356022557915,-0.454449500586337
50,"Male","1st Yr","Urban",-1.43925937463442,-0.872314708017763,-1.51638064887615,-0.192651396498411
54,"Male","4th Yr","Suburb/Semi-Urban",-0.424221686710672,-1.10764291008876,-1.16416229505116,0.481458089168859
55,"Male","4th Yr","Rural",-0.454374358834838,0.600436629514352,0.254229284124545,0.168236325305047
56,"Male","1st Yr","Rural",-0.291511950703054,0.450444897722802,0.0532342923686487,-0.294093743718301
57,"Female","2nd Yr","Urban",-2.42420883192974,-1.70672908865992,-1.9734028745067,0.204050660459219
58,"Female","1st Yr","Urban",-2.15659615608234,-1.17925797578234,-1.87020655137569,0.0960927178187212
60,"Male","1st Yr","Urban",-1.20682255747386,-0.672852648189254,-1.21761764252169,-0.357048509027871
62,"Female","1st Yr","Rural",0.342218912371277,0.552598994071314,0.0158895618900496,0.19098876413915
63,"Male","1st Yr","Urban",-1.43208530286173,-0.867067438884633,-1.41137318997644,0.262325649014364
69,"Male","3rd Yr","Rural",-1.56671140218061,-0.500331289829193,-0.187778278600497,1.14039724172315
70,"Male","3rd Yr","Suburb/Semi-Urban",-0.519372966351818,-0.690511886294341,-0.318190523897868,0.616787095047526
71,"Female","3rd Yr","Urban",0.0464165933072829,0.210669357123983,0.475653431883295,0.829962961127509
72,"Female","3rd Yr","Urban",-3.23440450711879,-2.4937899071698,-2.72393643396458,2.46477838639691
73,"Female","3rd Yr","Urban",0.0969825100105558,0.869431842464487,0.957177999344353,1.70053254465815
75,"Male","3rd Yr","Urban",-0.283335569544948,-0.716691565389579,-0.295461255577188,0.706752137173889
77,"Female","3rd Yr","Suburb/Semi-Urban",1.02424131794731,1.98018624585607,1.97625741879138,0.0211966999477301
80,"Female","3rd Yr","Suburb/Semi-Urban",-0.698119393173645,1.21510867527325,0.837090051959923,0.80282779051625
81,"Male","3rd Yr","Urban",-1.51048650204748,-1.8596909386293,-1.64146806281708,1.13116952875771
82,"Male","3rd Yr","Suburb/Semi-Urban",0.421991266019316,-0.032263468480576,0.394087052192408,-0.64559854341809
83,"Male","3rd Yr","Urban",0.171669929600057,0.0311493188974455,0.108205599712461,-0.373559138682306
84,"Male","3rd Yr","Rural",-0.538124493782001,1.08687806920713,0.912183801988349,-0.535893283479629
85,"Male","3rd Yr","Rural",-0.99552263412002,-0.643232507585337,-0.214733320607235,0.697272323033586
86,"Female","3rd Yr","Urban",0.997898026906531,2.46917724187814,2.18334548073318,-0.868746799103082
87,"Male","3rd Yr","Rural",-1.72900647969905,-0.408410804184145,-0.619202498666515,-0.289729904794711
88,"Male","3rd Yr","Urban",-1.90910234881799,-1.7708142909402,-1.54563325893929,0.627227421872982
89,"Female","3rd Yr","Suburb/Semi-Urban",0.0224143170267302,0.5820891677902,0.615687850032067,-0.566133741312364
91,"Female","3rd Yr","Urban",1.37189448425772,2.19117407166224,2.25215783991899,-1.0334498634631
92,"Female","1st Yr","Urban",-1.16259715732245,-0.00415789090697905,-0.567885188181434,0.768668649827485
93,"Female","1st Yr","Urban",-0.862255814452345,0.321700990897344,-0.0912704023164844,0.926838083090608
94,"Female","1st Yr","Rural",-1.4946357068797,1.04702958681344,0.255471555975351,0.939366884958355
95,"Female","1st Yr","Rural",-1.38906982000857,-0.484807214356232,-0.608354518712458,0.784063225822167
96,"Male","1st Yr","Suburb/Semi-Urban",-0.113273161504038,-0.583134877423492,-0.901000790462111,-0.567147248487791
99,"Male","1st Yr","Urban",-0.88402459982909,-0.842232968669638,-1.25758779241689,0.238914858348537
100,"Female","1st Yr","Rural",-0.422648988023366,1.46017817541038,0.739066624462286,0.800524826758781
102,"Female","1st Yr","Rural",-0.354144652508314,1.56645115827138,0.871893845579519,0.54003110751558
103,"Female","1st Yr","Urban",-0.54843099119593,1.06232408723259,0.466782531009734,0.656269238662932
104,"Female","1st Yr","Rural",-1.83018580805495,-0.0763616445525112,-0.488773957142199,0.951179271514421
105,"Female","1st Yr","Urban",-2.43295020877576,-1.45262921412938,-1.58959180872461,0.731594216223253
106,"Female","1st Yr","Urban",-1.05855553524465,0.541779345392396,0.283563321544141,1.2699399938306
107,"Male","1st Yr","Urban",0.230545098399842,-0.258121823790241,-0.225112821351221,-0.244294602593295
108,"Male","1st Yr","Urban",-1.67018640744896,-1.62385823499312,-1.60346126270549,0.249787096748549
109,"Male","1st Yr","Rural",-1.67821094036144,-1.69786887083852,-1.56888259713922,0.77785470673982
110,"Male","1st Yr","Rural",-1.45143700490023,-1.68746714194008,-1.55785697698855,0.749405613053266
111,"Male","1st Yr","Urban",-0.946092539566312,-0.958060635525779,-0.990190613940516,-0.0490151957443417
114,"Female","1st Yr","Urban",-0.576696072480312,0.665688740947398,0.664402069830718,-0.223019778637774
115,"Female","1st Yr","Urban",-1.16233391700719,0.117814741728696,-0.000734299987941751,0.661763366933663
116,"Female","1st Yr","Rural",-1.47031751070698,-0.129988050396083,-0.362953421275447,0.107439498878293
119,"Female","3rd Yr","Urban",0.489618660978838,1.12794188984324,0.944457507824127,-0.759890139894193
120,"Male","3rd Yr","Urban",0.00401138605376402,-0.483903298610575,-0.00560160965715533,-0.576301884611457
121,"Female","1st Yr","Urban",-0.454505603899139,-0.712258645429675,-0.594896808084626,1.60962759019042
125,"Male","1st Yr","Urban",-2.14378742630101,-0.911452633396975,-1.32459731973281,-0.124658649779138
126,"Male","1st Yr","Rural",-2.31494907906508,-0.664425538956039,-1.03733157558279,0.167833295125164
131,"Female","1st Yr","Urban",-1.75076778292434,-1.18734589729859,-1.26797786599581,1.32697060100452
132,"Female","1st Yr","Urban",-1.23605941779083,0.203066317759925,-0.146774074128668,0.408807882095856
133,"Female","1st Yr","Urban",-2.27035494328768,-1.25122438978825,-1.25666947762716,0.175340085236136
134,"Male","1st Yr","Rural",-1.27635378197345,-1.23390668761605,-1.07076606987202,0.613854666833508
135,"Female","1st Yr","Suburb/Semi-Urban",0.769598528119297,1.16409995908056,1.14885248226373,-0.746632829386291
137,"Male","1st Yr","Urban",-1.8310956472355,-1.48427350165113,-1.29867291316242,1.19662183450983
141,"Female","1st Yr","Urban",-0.516540394790749,-0.518405811453985,-0.418438043969119,2.31176211213471
142,"Female","1st Yr","Urban",0.064777289484088,-0.262958580156652,-0.174141880587653,0.745231053969597
143,"Female","1st Yr","Urban",0.186761610812955,0.0926468983353215,-0.0880033552143146,0.633826418824725
145,"Male","1st Yr","Suburb/Semi-Urban",0.317679540901379,-0.405999493821784,-0.334502250344068,0.280187525213186
146,"Male","1st Yr","Urban",0.0500923369407027,-0.633768514573226,-0.311826716449133,-0.434594139888808
155,"Male","1st Yr","Urban",-0.843567539048016,-0.497006895518698,-0.6815648790467,0.376305909034601
156,"Male","1st Yr","Rural",-1.64071891297752,-0.572955814518776,-0.789795415650602,-0.0479683788316752
158,"Male","1st Yr","Suburb/Semi-Urban",-0.0967356169097061,-0.752735432296944,-0.662005271748443,-0.204123578500315
159,"Male","1st Yr","Urban",-0.746153065003512,-1.82997194613894,-1.49186278562645,0.0170992239309009
160,"Male","1st Yr","Rural",-1.97214534813797,-1.79627949985178,-1.79336959988335,-0.340547635550439
161,"Male","1st Yr","Urban",-2.11205255294662,-1.40065327818103,-1.383505847281,0.411755747795072
162,"Male","1st Yr","Rural",-0.907220337736091,-0.292025284518924,-0.481939299805721,0.322958565650411
163,"Male","1st Yr","Rural",-0.914278800705038,-0.951623794728865,-1.20006567927117,-0.656903669261783
165,"Female","1st Yr","Urban",-2.85829270926626,-1.57582162164705,-2.04134560098762,1.00835505390411
166,"Female","1st Yr","Urban",-1.14424170117121,0.13639894872034,-0.446301540987006,0.629651807916664
167,"Female","1st Yr","Urban",-1.69601055903794,0.606948202171713,-0.558529838460166,0.387108874751704
170,"Male","1st Yr","Urban",-2.1512621162746,-0.386527277735181,-1.08237682576525,0.736395513109875
173,"Male","1st Yr","Urban",-1.40116532499589,-0.364041248265317,-1.03156895327696,0.269005755158386
174,"Male","1st Yr","Urban",-2.21963530865963,-0.467241888484814,-1.26941027220988,0.811118871505924
175,"Male","1st Yr","Suburb/Semi-Urban",-1.35766240275778,-0.468034485974359,-0.993344229418498,0.976468431473147
176,"Male","1st Yr","Suburb/Semi-Urban",-0.508047079507832,-0.641311678775079,-1.07902959666726,0.581670939708623
177,"Male","3rd Yr","Urban",0.931701350839153,0.80541493209571,0.785766753512185,-1.45886515202497
178,"Female","3rd Yr","Urban",0.394271524669666,0.867941375870091,0.728007324773532,-0.0653031086285278
179,"Male","3rd Yr","Urban",-0.257940827852591,0.160458266072047,0.129326482138057,-0.635849347751477
180,"Female","3rd Yr","Suburb/Semi-Urban",2.69214402476701,2.20108698537263,2.32576416944526,-1.63146792391766
181,"Female","3rd Yr","Urban",0.69919682414642,2.09848529343802,1.97122082056085,-0.648398140312059
182,"Male","3rd Yr","Urban",0.100878145172199,-0.848607923135049,-0.704584599141255,-1.02785506904414
184,"Female","3rd Yr","Urban",-1.01454952622697,0.380462487430754,0.432329906525671,-0.337215007956687
185,"Female","3rd Yr","Rural",-1.44945429233194,-0.463123312287068,-0.408826882522279,-0.284143387819715
186,"Male","3rd Yr","Urban",-1.38555548025047,-1.60972558050648,-1.59466055089955,2.4751142348749
187,"Female","3rd Yr","Urban",0.0613492129628527,0.917325454093185,0.837478693544979,-0.013415088634819
188,"Female","3rd Yr","Urban",0.16178866817816,1.41821816261362,1.24293830063469,-0.480922118371907
189,"Female","3rd Yr","Suburb/Semi-Urban",0.513685094160491,1.46027347618178,1.37216132461761,-0.281125898909329
190,"Female","3rd Yr","Rural",0.689293799653784,2.00112338945699,1.43108540493105,-0.569064433425254
191,"Female","3rd Yr","Rural",0.265758654756451,1.14429392282405,1.31423623273095,0.743401619362604
194,"Male","3rd Yr","Rural",-0.0621537894045346,-0.433367869817904,-0.23234293187498,-0.800633912076207
195,"Male","3rd Yr","Suburb/Semi-Urban",0.216936776402962,0.539189466041199,0.52223552475514,-0.0556502107180965
196,"Female","3rd Yr","Urban",-0.332905155749277,0.41939923797153,-0.0222607268882007,0.512943336841255
197,"Male","3rd Yr","Urban",2.27230737296816,1.14536369024617,1.42267775213144,-2.20757969878785
198,"Male","3rd Yr","Rural",-0.453831552517374,-0.236137583718642,-0.056536897426232,0.638387734158548
200,"Male","3rd Yr","Urban",0.0434564345380333,-1.16826056248645,-1.1290172016226,-0.188383104085704
201,"Male","3rd Yr","Urban",-0.54488331974538,-0.0848738550945797,0.0140057351869724,-1.16115569425308
202,"Male","3rd Yr","Urban",1.74184969233543,1.88259984366516,1.80664391738494,-1.26593284676497
205,"Male","3rd Yr","Suburb/Semi-Urban",-0.65624004619333,-0.926985625511979,-0.712146193058035,2.11675846082932
206,"Male","1st Yr","Urban",-0.963429532576378,0.0280628929158331,-0.101184989245567,0.330356319383958
207,"Female","1st Yr","Suburb/Semi-Urban",-0.631820467375688,0.483180516054749,0.243584575924529,-1.06445649989228
208,"Female","1st Yr","Urban",-1.41145102015032,0.275615340923854,-0.0455812614074355,-0.98844894479899
210,"Female","1st Yr","Urban",2.58628046897732,3.24046624737825,3.09955632181461,-1.86984329749283
213,"Male","1st Yr","Urban",-2.26204110623267,-2.18031328167004,-2.12909817020606,0.825473354357859
214,"Male","1st Yr","Urban",-1.88855013304649,-2.93946571766371,-2.90356320146872,0.471992570805895
216,"Male","1st Yr","Urban",-0.688670796934589,0.249668823556859,-0.252507650265127,0.131043422251795
