cluster,Feature,mean,lo,hi
C1,Anx,-0.7401951456255345,-0.8114885354257206,-0.6689017558253483
C1,BRS,0.5754994943034362,0.49096959954835573,0.6600293890585166
C1,Dep,-0.7235474545716976,-0.794678173493192,-0.6524167356502031
C1,Str,-0.7595927240709724,-0.8264431863018709,-0.692742261840074
C2,Anx,0.7858236135065605,0.710919459316949,0.860727767696172
C2,BRS,-0.6109754905276206,-0.7086819999850772,-0.5132689810701639
C2,Dep,0.7681496949220077,0.6885202800486636,0.8477791097953518
C2,Str,0.8064169330890462,0.7325120215811929,0.8803218445968994
