Feature,PC1,PC2,PC3,PC4
Dep,0.5186383086381995,0.09115997429667284,0.8170559648319077,0.2347843994641423
Anx,0.52087291379503,0.3215682209116432,-0.5340761514331862,0.5831363060594942
Str,0.5343397405091127,0.29676017594515613,-0.14892191799856164,-0.77732663792339185
BRS,-0.41735686672227706,0.8945485656793319,0.15812804034245903,0.02432349272342567
