academic_year,dQ1S,dQ2A,dQ3D,dQ4A,dQ5D,dQ6S,dQ7A,dQ8S,dQ9A,dQ10D,dQ11S,dQ12S,dQ13D,dQ14S,dQ15A,dQ16D,dQ17D,dQ18S,dQ19A,dQ20A,dQ21D,rQ1,rQ3,rQ5,rQ2_r,rQ4_r,rQ6_r
1,1.1714285714285715,1.6048387096774193,1.0245901639344261,0.8588709677419355,1.4715447154471544,1.319838056680162,1.3673469387755102,1.6229508196721312,1.5403225806451613,0.8902439024390244,1.1755102040816328,0.976,1.5,1.5959183673469388,1.0816326530612246,0.9919028340080972,0.9346938775510204,1.528688524590164,1.2591093117408907,1,0.68,3.364,3.282258064516129,3.3855421686746987,2.783132530120482,2.932,3.055776892430279
2,1.2538699690402477,1.2984615384615386,1.00625,0.808641975308642,1.5325077399380804,1.2267080745341614,1.0403726708074534,1.5386996904024768,1.6214511041009463,1.3098159509202454,1.534375,1.1809815950920246,1.468944099378882,1.5047021943573669,1.166153846153846,1.1324921135646688,1.2760736196319018,1.4937888198757765,1.154320987654321,0.9663608562691132,1.0274390243902438,3.2208588957055215,3.088957055214724,3.18348623853211,2.675840978593272,2.761467889908257,2.8689024390243905
3,1.2608695652173914,1.3496932515337423,1.0440251572327044,1.0304878048780488,1.4146341463414633,1.31055900621118,1.1383647798742138,1.6204819277108433,1.8,1.1585365853658536,1.5246913580246915,0.9390243902439024,1.49375,1.4870129870129871,1.2560975609756098,1.16875,1.0185185185185186,1.5460122699386503,1.312883435582822,0.9454545454545454,0.8734939759036144,3.4698795180722892,3.187878787878788,3.4397590361445785,2.8674698795180724,2.963855421686747,3.0602409638554215
4,1.5238095238095237,1.5047619047619047,1.3942307692307692,1.2,1.796116504854369,1.3495145631067962,1.0666666666666667,1.625,1.3366336633663367,1.2135922330097086,1.6761904761904762,1.3076923076923077,1.4423076923076923,1.6019417475728155,1.4466019417475728,1.1923076923076923,1.2307692307692308,1.6699029126213591,1.3523809523809525,1.1428571428571428,1.0380952380952382,3.380952380952381,3.123809523809524,3.1809523809523808,2.326923076923077,2.7211538461538463,2.8666666666666667
