gender,dQ1S,dQ2A,dQ3D,dQ4A,dQ5D,dQ6S,dQ7A,dQ8S,dQ9A,dQ10D,dQ11S,dQ12S,dQ13D,dQ14S,dQ15A,dQ16D,dQ17D,dQ18S,dQ19A,dQ20A,dQ21D,rQ1,rQ3,rQ5,rQ2_r,rQ4_r,rQ6_r
1,1.1428571428571428,1.3515439429928742,1.046116504854369,0.8157894736842105,1.4138755980861244,1.0985576923076923,0.9451073985680191,1.3923444976076556,1.4574209245742094,1.077294685990338,1.2572115384615385,0.9881235154394299,1.2294685990338163,1.4493827160493826,0.9663461538461539,1.033734939759036,1.0434782608695652,1.1342925659472423,1.045346062052506,0.7677725118483413,0.8250591016548463,3.3891509433962264,3.2446555819477436,3.3871733966745845,2.860189573459716,3.0260663507109005,3.0732860520094563
2,1.39119804400978,1.4939759036144578,1.0878048780487806,1.0191387559808613,1.6343825665859564,1.4757281553398058,1.3823529411764706,1.78743961352657,1.7414634146341463,1.2119047619047618,1.632603406326034,1.1794258373205742,1.7228915662650603,1.6228710462287104,1.4326923076923077,1.1715686274509804,1.1961722488038278,1.9343065693430657,1.4313253012048193,1.230952380952381,0.9714964370546318,3.277511961722488,3.0978520286396183,3.218527315914489,2.5417661097852027,2.676190476190476,2.845971563981043
NA,1.2,1.8,1.2,0.6,1.6,1.2,0.75,1.8,1.2,1.2,1.6,2,2,2.2,0.2,1.6,1.2,2.5,1.8,0.2,0.6,3,2.75,1.6,2.8,2,3.2
