idx,eig
1,6.897903962864037
2,1.7805000601643268
3,1.1195907865096744
4,1.0898709745704283
5,0.9676437915903141
6,0.8363610014129047
7,0.8199930661739999
8,0.753297423062109
9,0.7064761853646986
10,0.6574625345593528
11,0.6118281619112165
12,0.6004767113854832
13,0.5788666458529406
14,0.5506914690893177
15,0.5200449747272964
16,0.5009025010734266
17,0.462615389189019
18,0.43750393435469703
19,0.4288735696503085
20,0.3649055276804233
21,0.31419132881402384
