item,domain,a,thr_ordered,p,infit,max_absQ3,mean_info_band,delta_info_band,primary_loading,comp
dQ2A,Anx,0.5575769713500072,TRUE,NA,NA,0.16889643320277445,0.09244501984512069,NA,0.4065994912183511,NA
dQ4A,Anx,0.8864924432849571,TRUE,NA,NA,0.14786801172508446,0.24147587670725254,NA,0.5543859402743887,NA
dQ7A,Anx,1.0242109988851449,TRUE,NA,NA,0.1921073105907848,0.31164238901655616,NA,0.5042245676568197,NA
dQ19A,Anx,1.0457222051166222,TRUE,NA,NA,0.18044305416823003,0.3189526822832832,NA,0.5532485660896993,NA
dQ20A,Anx,1.2751243780353798,TRUE,NA,NA,0.148107543655103,0.48761769188592674,NA,0.5305629502781405,NA
dQ9A,Anx,1.362263389239067,TRUE,NA,NA,0.12555327346780276,0.45321314199104656,NA,0.34522901463936195,NA
dQ15A,Anx,1.6115844273429976,TRUE,NA,NA,0.1897716205210868,0.7085077406893064,NA,0.382043621877859,NA
dQ3D,Dep,0.9690569629160528,TRUE,NA,NA,0.1404423776840901,0.28711608105869196,NA,0.40419613177877134,NA
dQ5D,Dep,0.9228387610569052,TRUE,NA,NA,0.1897716205210868,0.24058741251043916,NA,0.4638600864507505,NA
dQ10D,Dep,1.344621566288223,TRUE,NA,NA,0.24109708213200703,0.5161847679079906,NA,0.6654756303540688,NA
dQ13D,Dep,1.6202703072783309,TRUE,NA,NA,0.1339597471668708,0.6259826822377573,NA,0.4341733352707179,NA
dQ16D,Dep,1.1636620264478934,TRUE,NA,NA,0.1250730942425517,0.4042015273798576,NA,0.5325818642941331,NA
dQ17D,Dep,1.1312011962993958,TRUE,NA,NA,0.2896857860198295,0.37434396105730144,NA,0.7656688166381311,NA
dQ21D,Dep,1.247502596794083,TRUE,NA,NA,0.2896857860198295,0.462327662235508,NA,0.7775419696877546,NA
dQ6S,Str,1.1032473866005066,TRUE,NA,NA,0.15516314576618545,0.35349384242895765,NA,0.4842727719592007,NA
dQ8S,Str,1.3061501193524925,TRUE,NA,NA,0.2132501810437102,0.42593075600590796,NA,0.5571026677115898,NA
dQ14S,Str,0.7883932603100742,TRUE,NA,NA,0.1685663832916736,0.1801496213166589,NA,0.6093770963630096,NA
dQ18S,Str,1.0656495853346457,TRUE,NA,NA,0.24109708213200703,0.29418767720141586,NA,0.4421034195960011,NA
dQ1S,Str,0.6060633283081128,TRUE,NA,NA,0.11964747374496278,0.11305018947231957,NA,0.2622971129251386,NA
dQ11S,Str,1.4660249294431886,TRUE,NA,NA,0.1321210829935485,0.5514335398646455,NA,0.3490586644518364,NA
dQ12S,Str,1.0732654723204225,TRUE,NA,NA,0.13807297759123757,0.3487652743680392,NA,0.2918678694399657,NA
